"Daily Weather Observations for Brisbane Airport, Queensland for September 2021"
"Prepared at 13:01 UTC on Sunday  6 March 2022   IDCJDW4020.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,15.4,24.7,0,,8.3,NE,28,15:37,19.9,81,4,SW,13,1027.4,23.7,62,1,NE,17,1024.3
,2021-09-2,17.0,22.9,2.6,,10.2,ESE,31,10:09,21.2,63,2,ESE,13,1029.7,21.6,55,1,SE,17,1026.7
,2021-09-3,14.6,23.6,0.8,,,ENE,37,04:29,19.6,78,7,E,11,1026.9,21.4,59,7,ENE,24,1023.7
,2021-09-4,13.2,23.8,2.4,,,NNE,31,14:21,18.6,84,4,SW,13,1024.2,22.0,70,2,NNE,20,1020.0
,2021-09-5,15.1,24.2,0,,3.0,W,43,19:25,20.7,69,7,W,13,1020.0,19.9,88,7,NNW,11,1016.5
,2021-09-6,10.5,22.4,1.4,,9.9,WSW,33,00:59,15.9,47,6,SW,24,1024.3,20.3,41,2,NE,22,1020.2
,2021-09-7,10.0,23.3,0,,11.0,SW,39,08:20,17.8,36,0,SSW,24,1028.0,22.8,24,0,NE,13,1024.6
,2021-09-8,8.3,22.8,0,,,ESE,33,12:46,19.0,56,1,SSW,13,1030.3,21.5,51,2,ESE,17,1027.8
,2021-09-9,11.7,23.6,0,,10.3,NNE,30,14:45,19.4,63,1,SSW,13,1030.8,22.1,51,1,NNE,22,1026.5
,2021-09-10,10.3,26.2,0,,10.7,NNE,31,14:57,20.5,60,0,NNW,9,1025.0,24.9,59,0,NNE,26,1020.0
,2021-09-11,11.3,23.8,0,,11.0,N,46,22:19,20.8,54,0,WSW,7,1021.7,22.2,63,1,NNE,30,1017.8
,2021-09-12,11.3,25.0,0,,10.7,NNE,52,15:55,21.7,57,1,NNW,17,1018.2,22.8,63,1,NNE,33,1013.0
,2021-09-13,16.7,26.5,0,,,NNE,43,14:49,22.8,65,1,N,22,1013.9,21.9,85,7,NE,30,1009.5
,2021-09-14,11.7,23.2,0.2,,,WSW,61,13:35,19.8,29,1,WSW,26,1017.0,21.6,20,2,WSW,43,1014.0
,2021-09-15,8.0,22.4,0,,11.1,SSW,41,08:04,18.2,41,0,SSW,26,1020.2,21.4,43,1,ENE,17,1017.1
,2021-09-16,10.8,22.7,0,,10.4,ESE,33,17:17,19.5,49,1,SW,17,1022.2,20.9,49,1,ENE,19,1018.6
,2021-09-17,11.0,23.5,0,,11.0,NE,31,14:28,19.7,57,1,SSW,11,1024.0,21.4,60,1,ENE,22,1020.6
,2021-09-18,13.3,23.9,0,,8.9,NNE,43,14:56,21.3,60,1,NNW,17,1024.7,22.5,57,4,NNE,33,1020.2
,2021-09-19,15.7,26.6,0,,10.9,N,31,00:02,23.4,47,1,NNE,9,1023.1,25.2,43,1,E,15,1019.5
,2021-09-20,14.0,24.9,0,,10.8,NNE,56,16:33,22.0,67,1,N,13,1020.9,22.9,70,1,NNE,41,1013.4
,2021-09-21,18.1,25.7,0,,11.1,W,74,14:39,23.0,32,1,WSW,37,1011.6,21.7,21,2,W,52,1012.0
,2021-09-22,9.1,21.8,0,,11.3,SW,46,08:08,17.5,36,1,SW,30,1021.2,20.6,45,1,ESE,19,1019.0
,2021-09-23,9.3,24.6,0,,11.4,NE,33,13:54,20.0,51,1,SSW,15,1023.9,22.4,43,0,NE,24,1019.2
,2021-09-24,11.3,25.0,0,,11.2,NNE,46,15:35,21.4,54,0,NW,20,1020.7,23.0,69,1,NNE,31,1015.0
,2021-09-25,11.2,26.1,0,,10.8,NNE,37,13:56,22.1,52,6,N,15,1017.3,23.6,65,4,NNE,30,1013.1
,2021-09-26,16.0,24.3,0,,4.2,SE,46,19:01,22.6,60,7,SE,19,1018.8,22.2,65,7,SE,20,1017.2
,2021-09-27,15.0,20.8,5.2,,0.5,SE,35,10:45,18.6,65,8,ESE,17,1023.7,19.5,57,7,ESE,17,1020.7
,2021-09-28,17.2,22.2,0,,2.0,ENE,30,15:42,19.7,53,8,E,15,1023.7,20.4,50,8,NE,20,1020.5
,2021-09-29,15.3,23.9,0,,1.0,NNE,41,12:10,20.9,58,8,NE,19,1022.8,21.1,61,8,NNE,26,1019.6
,2021-09-30,16.7,25.1,1.8,,7.0,NNE,48,13:25,20.1,78,7,NW,11,1018.9,22.9,75,6,NNE,33,1012.9
