"Daily Weather Observations for Brisbane Airport, Queensland for November 2021"
"Prepared at 13:01 UTC on Friday  4 March 2022   IDCJDW4020.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,16.0,24.1,0.2,,4.7,ENE,35,11:33,22.2,50,7,E,19,1026.1,22.5,52,7,ESE,15,1023.7
,2021-11-2,19.7,24.5,0,,2.4,ENE,33,13:10,22.3,61,7,SE,13,1025.6,23.2,57,7,ENE,20,1023.4
,2021-11-3,17.2,24.4,0,,9.0,SSE,33,10:50,22.8,57,3,SE,15,1025.5,23.0,58,7,ESE,17,1022.4
,2021-11-4,14.9,24.3,0,,7.9,ENE,31,15:41,23.4,51,5,E,19,1022.2,23.5,62,6,E,19,1019.1
,2021-11-5,20.0,24.4,0,,2.4,E,30,16:13,22.7,58,7,E,13,1020.2,21.3,76,7,SE,15,1016.9
,2021-11-6,17.1,24.7,4.8,,9.5,ENE,30,13:47,21.2,76,7,E,15,1016.9,22.7,68,7,NE,20,1013.2
,2021-11-7,19.9,25.8,0.2,,6.5,NNE,48,15:03,23.9,68,7,NNE,20,1013.7,24.6,71,7,NNE,33,1009.4
,2021-11-8,20.3,27.0,11.2,,5.3,N,43,02:51,21.7,85,8,N,28,1009.6,23.6,91,8,NNE,24,1006.8
,2021-11-9,21.0,26.5,12.6,,6.5,SE,31,14:09,25.1,73,8,SE,13,1012.1,26.0,74,5,ESE,19,1009.8
,2021-11-10,22.9,27.2,0,,7.5,NNE,48,19:55,26.0,81,7,NNE,20,1012.0,25.1,89,6,NNE,31,1007.4
,2021-11-11,23.2,28.4,7.4,,3.6,N,41,22:51,26.3,82,7,NNE,22,1007.4,25.0,95,8,ENE,9,1004.5
,2021-11-12,23.0,27.1,39.6,,1.7,W,52,23:19,24.1,92,8,N,22,1003.1,25.7,85,7,NNE,24,999.8
,2021-11-13,16.7,27.1,0.8,,13.0,W,61,10:10,21.6,44,1,WSW,43,1008.1,26.5,30,2,W,31,1005.8
,2021-11-14,13.5,28.1,0,,13.0,W,48,11:37,22.8,36,1,NNE,17,1013.3,27.6,25,1,NW,26,1008.9
,2021-11-15,13.4,30.2,0,,13.2,WSW,48,09:29,25.1,28,0,WNW,13,1013.2,30.0,23,0,WNW,24,1009.1
,2021-11-16,15.1,28.4,0,,11.3,ENE,33,14:15,24.5,39,5,SW,7,1015.6,26.9,38,6,NE,24,1013.1
,2021-11-17,19.4,25.8,0,,,SE,41,07:22,24.7,63,5,SE,24,1021.3,23.3,64,6,ESE,17,1019.1
,2021-11-18,19.6,25.1,3.2,,,NE,33,12:05,22.7,66,7,ENE,15,1022.3,23.3,57,6,ENE,22,1018.2
,2021-11-19,15.8,26.0,0,,12.6,NE,35,12:21,23.5,64,2,N,13,1018.8,25.1,62,6,NNE,20,1015.6
,2021-11-20,18.8,27.0,0,,11.0,NNE,41,14:33,24.9,64,1,NNE,15,1015.6,25.6,74,4,NNE,33,1012.1
,2021-11-21,21.1,26.1,0,,,N,31,00:03,24.0,72,7,NNE,17,1013.3,25.6,71,7,NNE,19,1011.6
,2021-11-22,20.1,25.6,11.6,,4.6,ENE,37,08:05,21.6,92,7,NE,9,1014.1,25.4,69,7,E,17,1012.4
,2021-11-23,19.7,26.7,5.2,,,E,35,13:32,23.7,79,7,ESE,19,1016.3,24.3,81,7,ESE,15,1014.0
,2021-11-24,20.0,26.4,84.4,,5.0,ENE,35,10:18,24.4,88,7,E,7,1015.8,25.7,79,7,E,13,1013.2
,2021-11-25,21.5,25.1,12.0,,0.0,N,35,06:37,22.2,94,8,NE,17,1013.3,24.0,94,8,N,20,1010.6
,2021-11-26,22.2,27.0,6.6,,5.3,NNE,48,14:19,24.5,91,7,N,20,1008.9,26.3,83,7,NNE,35,1005.3
,2021-11-27,22.0,26.4,1.0,,,SE,39,19:26,25.7,73,7,SE,15,1010.8,24.2,74,8,SE,19,1010.5
,2021-11-28,21.2,26.7,0,,5.8,SE,46,12:57,24.0,67,7,SE,19,1016.7,24.7,65,6,ESE,24,1015.2
,2021-11-29,20.7,26.6,0,,1.3,ESE,39,12:27,24.9,68,8,SSE,17,1017.9,25.1,72,8,ESE,22,1015.7
,2021-11-30,20.5,24.7,44.0,,0.0,SSE,31,09:49,21.4,95,8,SE,13,1015.4,23.2,92,8,SE,13,1011.7
