"Daily Weather Observations for Cairns, Queensland for March 2021"
"Prepared at 13:01 UTC on Wednesday 13 April 2022   IDCJDW4024.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,22.6,,10.6,,,SSE,85,13:18,24.6,80,8,SSE,7,1001.1,22.3,95,8,SSE,43,997.5
,2021-03-2,,27.8,110.0,,,,,,23.9,91,7,S,17,1003.9,27.6,73,8,SSE,17,1000.7
,2021-03-3,23.5,29.8,5.8,,,SSE,61,12:39,27.0,75,8,SSE,30,1003.1,29.5,60,8,SSE,22,999.9
,2021-03-4,26.3,33.8,0,,,SSE,43,03:41,28.8,65,8,SSW,6,1002.8,33.5,45,,SSE,20,999.7
,2021-03-5,23.6,31.3,0,,,N,20,11:27,28.2,71,2,SSE,6,1007.6,29.7,61,3,ENE,9,1004.7
,2021-03-6,23.4,30.3,0,,,N,31,12:07,26.9,75,8,SE,6,1009.0,28.5,75,7,N,17,1006.5
,2021-03-7,24.3,30.7,0,,,NE,24,14:15,28.2,77,7,SE,4,1011.2,29.4,68,2,NE,15,1009.1
,2021-03-8,23.8,30.7,1.0,,,ENE,30,13:29,27.5,74,7,SSE,7,1013.6,30.2,60,1,E,20,1011.2
,2021-03-9,23.7,31.3,0.6,,,ESE,31,14:22,27.6,74,5,S,13,1014.1,30.2,62,2,E,19,1011.3
,2021-03-10,22.9,31.3,0,,,SE,28,12:06,27.0,68,,SSE,9,1014.7,30.2,51,,ESE,20,1012.2
,2021-03-11,22.5,31.9,0,,,SE,41,15:48,28.2,71,1,SSE,15,1015.1,31.1,59,1,SE,28,1012.2
,2021-03-12,24.6,32.5,0.2,,,SE,41,10:53,27.8,72,6,SSE,15,1014.7,31.1,54,,ESE,20,1011.3
,2021-03-13,24.3,32.7,1.2,,,SE,33,10:26,28.1,72,,SSE,19,1013.3,31.7,54,,ESE,20,1010.0
,2021-03-14,23.4,32.8,0,,,ESE,33,14:02,28.1,69,,SSE,13,1011.9,31.2,53,,ENE,17,1009.0
,2021-03-15,23.0,33.1,0,,,E,31,13:59,28.5,66,,S,9,1012.2,31.6,55,,E,17,1009.4
,2021-03-16,23.2,31.6,0,,,ESE,31,10:31,28.7,70,7,ESE,9,1012.8,29.9,67,8,NE,13,1010.0
,2021-03-17,22.9,31.4,0,,,NE,22,14:02,28.8,67,,SE,7,1011.9,30.7,61,,NE,15,1008.7
,2021-03-18,23.1,32.0,0,,,NE,26,16:11,28.8,67,,SE,9,1010.6,31.0,64,3,ENE,17,1008.3
,2021-03-19,23.2,31.5,0.2,,,E,35,14:05,28.3,71,7,SE,6,1010.7,29.2,67,8,ENE,9,1008.6
,2021-03-20,23.1,32.5,2.6,,,ESE,33,13:33,26.9,76,4,S,11,1010.9,31.5,53,,E,19,1007.7
,2021-03-21,21.0,31.9,0,,,N,24,13:39,27.8,63,,ESE,7,1010.1,30.3,64,,N,11,1007.4
,2021-03-22,22.6,31.9,0,,,NE,24,12:48,29.1,63,,SSE,7,1011.5,31.3,64,,NE,17,1008.8
,2021-03-23,22.1,31.8,0,,,NNE,22,14:13,28.1,68,,ENE,4,1010.7,30.3,61,,NNE,13,1006.1
,2021-03-24,24.2,32.3,0,,,N,30,11:58,29.2,69,,NNW,4,1008.4,30.9,70,,N,17,1004.6
,2021-03-25,22.3,32.4,147.0,,,SSE,57,01:21,27.6,76,,SSE,11,1008.8,31.5,67,4,NE,15,1005.4
,2021-03-26,24.3,33.0,1.4,,,,,,28.0,81,4,S,13,1010.6,31.7,63,,E,20,1007.1
,2021-03-27,24.9,33.3,,,,ENE,52,14:08,29.3,71,,SSE,13,1011.5,27.0,83,8,ENE,17,1009.1
,2021-03-28,23.7,29.5,11.2,,,SE,46,13:50,25.0,89,8,S,13,1012.1,25.7,89,6,S,13,1009.4
,2021-03-29,23.4,31.8,31.4,,,SE,54,13:53,28.0,69,,SSE,22,1012.2,30.2,56,2,SE,39,1009.1
,2021-03-30,23.6,31.2,0,,,SE,61,13:42,27.8,64,1,SSE,26,1011.1,30.0,53,4,SE,39,1008.8
,2021-03-31,24.9,31.1,0,,,SE,63,13:26,27.0,66,8,SSE,24,1010.5,29.9,59,2,SE,33,1007.9
