"Daily Weather Observations for Cairns, Queensland for April 2021"
"Prepared at 13:01 UTC on Friday 13 May 2022   IDCJDW4024.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,22.8,30.3,8.0,,,SE,65,11:11,25.9,66,8,SSE,28,1011.2,29.1,59,8,SE,41,1008.9
,2021-04-2,23.2,30.5,0.8,,,SE,61,11:19,27.5,69,8,SSE,24,1011.9,27.1,67,8,SSE,26,1009.6
,2021-04-3,23.3,30.6,1.2,,,SE,46,14:02,26.0,68,5,SSE,24,1010.8,28.9,60,8,SSE,22,1008.2
,2021-04-4,23.3,29.0,2.4,,,SE,30,14:08,25.3,84,8,S,15,1010.2,27.4,75,4,SE,19,1006.6
,2021-04-5,23.6,31.6,2.4,,,SE,33,12:34,26.3,83,8,SSE,15,1009.9,31.0,65,,ESE,19,1006.5
,2021-04-6,22.7,31.8,0,,,NE,22,13:09,27.9,71,7,SSE,6,1011.6,30.0,67,8,NNE,9,1007.4
,2021-04-7,22.9,32.0,1.4,,,ENE,30,14:36,27.3,75,6,SE,6,1010.1,31.4,66,1,ENE,20,1005.8
,2021-04-8,24.6,32.0,0,,,S,37,19:50,28.2,74,,S,11,1008.6,29.0,69,8,ENE,15,1004.9
,2021-04-9,21.7,30.8,6.0,,,NE,22,14:11,27.1,77,2,ESE,6,1010.3,29.6,72,5,NE,11,1006.7
,2021-04-10,22.4,30.4,0,,,NNE,22,14:24,25.8,73,8,SE,4,1011.0,29.2,66,,NNE,13,1007.0
,2021-04-11,23.4,31.6,0,,,NNE,28,11:31,27.6,78,,SE,6,1010.9,29.4,73,6,N,13,1007.8
,2021-04-12,21.9,31.3,0,,,NE,35,13:58,28.2,68,,NW,2,1011.5,29.8,70,1,ENE,20,1009.1
,2021-04-13,21.9,30.5,6.4,,,SE,37,15:09,26.7,72,,SE,11,1014.6,27.8,66,8,SE,22,1011.5
,2021-04-14,21.6,30.8,0,,,,,,26.9,71,3,SSE,17,1014.4,29.1,61,8,ESE,22,1011.8
,2021-04-15,21.6,30.7,3.0,,,SE,35,10:55,26.4,68,,SSE,15,1014.1,29.8,53,4,SE,24,1010.6
,2021-04-16,21.0,30.8,3.8,,,SE,43,12:22,24.6,82,5,SSE,11,1014.1,29.2,63,3,SE,22,1011.0
,2021-04-17,24.1,31.8,0,,,SE,41,11:56,27.5,65,1,SSE,20,1013.3,30.2,56,1,SSE,19,1009.5
,2021-04-18,24.8,29.7,0,,,SE,41,09:50,27.4,70,8,SSE,20,1012.1,25.0,94,8,SSE,22,1009.3
,2021-04-19,22.9,24.5,159.2,,,S,35,00:59,23.7,98,8,SSE,15,1011.9,24.0,94,8,S,17,1010.4
,2021-04-20,22.4,26.3,176.6,,,,,,24.1,96,6,WNW,2,1013.5,24.0,96,8,E,19,1011.7
,2021-04-21,22.8,28.0,203.6,,,,,,23.2,98,8,SSE,6,1015.1,27.1,75,8,S,15,1011.0
,2021-04-22,22.7,29.1,18.4,,,S,30,20:28,25.4,89,8,SSE,11,1012.4,26.1,88,7,ENE,7,1009.1
,2021-04-23,22.8,27.7,27.6,,,SSE,46,21:17,26.1,82,1,SSE,15,1012.1,26.7,79,8,SSE,15,1009.1
,2021-04-24,22.9,27.9,1.0,,,SSE,39,02:34,25.0,78,8,SSE,20,1012.9,26.6,77,8,SSE,17,1010.6
,2021-04-25,22.8,26.0,102.6,,,S,39,03:15,23.8,96,8,S,22,1013.6,25.3,95,7,SSE,15,1011.5
,2021-04-26,22.0,25.6,68.2,,,SSE,39,16:05,24.7,94,8,SE,17,1015.7,23.6,96,8,SSE,19,1013.8
,2021-04-27,22.9,28.0,37.4,,,SSE,48,13:42,24.6,82,8,SSE,19,1017.6,26.3,68,7,SE,37,1014.8
,2021-04-28,20.9,28.5,0,,,SE,43,10:38,26.3,69,1,SSE,19,1017.0,28.0,64,4,ESE,22,1014.2
,2021-04-29,21.0,26.6,6.8,,,SSE,39,12:17,22.5,89,8,SE,11,1015.9,25.7,73,3,SSE,15,1013.0
,2021-04-30,19.6,28.5,8.4,,,SE,41,11:59,24.7,71,,SSE,15,1016.6,27.4,61,,SE,22,1014.1
