"Daily Weather Observations for Cairns, Queensland for May 2021"
"Prepared at 13:01 UTC on Thursday 12 May 2022   IDCJDW4024.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,21.6,29.2,0.2,,,SE,43,12:37,24.5,73,6,SSE,20,1017.9,27.6,60,,SE,31,1014.6
,2021-05-2,22.7,29.3,0,,,SE,43,11:33,25.0,74,7,SSE,20,1016.9,26.9,64,8,SE,26,1013.7
,2021-05-3,22.7,29.6,0,,,SSE,37,09:36,25.8,69,,SSE,22,1015.1,28.1,63,,ESE,24,1011.2
,2021-05-4,22.3,28.9,0.6,,,SE,39,10:35,25.7,76,1,SSE,19,1013.6,27.0,70,8,SE,22,1010.7
,2021-05-5,20.0,30.2,0,,,,,,26.2,69,,SE,15,1013.2,29.5,49,,ESE,11,1009.5
,2021-05-6,18.3,29.1,,,,S,24,09:26,24.6,67,,SSE,15,1013.1,28.2,53,,ENE,13,1009.5
,2021-05-7,17.6,28.6,0,,,E,28,14:04,24.7,64,,S,13,1013.5,27.7,58,,ENE,17,1010.2
,2021-05-8,19.7,28.7,0,,,S,31,22:06,24.0,66,,SSE,15,1014.2,27.8,52,,NE,15,1010.6
,2021-05-9,20.2,29.7,0,,,SE,39,10:58,25.2,71,,S,19,1014.1,28.8,58,,ESE,19,1011.1
,2021-05-10,22.8,29.2,0,,,SE,35,12:54,26.3,73,8,S,15,1014.0,28.1,62,1,SSE,15,1011.3
,2021-05-11,22.1,30.2,0,,,ESE,28,12:16,25.7,71,7,S,13,1014.6,28.7,65,7,ESE,20,1011.3
,2021-05-12,22.9,31.1,0,,,SE,35,16:09,26.0,76,6,SSE,11,1013.6,29.9,62,,ESE,19,1010.4
,2021-05-13,19.7,30.8,0,,,SE,28,14:50,25.4,70,,SSE,15,1012.2,29.3,61,,ESE,20,1009.3
,2021-05-14,19.6,30.5,0,,,SSE,37,10:56,26.0,67,,SSE,13,1012.8,29.1,60,,SE,24,1010.0
,2021-05-15,21.1,29.0,0,,,ESE,37,12:54,26.4,69,,S,13,1013.5,25.9,65,7,SE,22,1011.2
,2021-05-16,18.2,28.2,0,,,SE,48,12:33,24.4,61,,SSE,22,1014.8,26.6,53,2,SE,31,1012.7
,2021-05-17,19.0,27.8,0,,,SE,46,10:10,24.2,58,,SSE,20,1016.8,25.6,54,8,SE,28,1014.9
,2021-05-18,22.1,29.5,0,,,SE,46,13:37,24.2,77,8,SSE,19,1017.6,25.6,69,8,SE,24,1014.8
,2021-05-19,21.3,29.3,0.2,,,SE,48,15:03,24.6,72,6,SSE,22,1017.7,27.0,61,8,SE,33,1014.5
,2021-05-20,21.6,27.0,6.4,,,SE,56,16:48,22.8,88,8,S,22,1016.8,26.6,63,,SE,31,1014.6
,2021-05-21,20.7,27.5,10.4,,,SE,57,11:33,22.7,83,7,S,17,1016.5,24.7,73,8,SE,30,1013.9
,2021-05-22,20.6,26.0,7.2,,,SE,46,09:53,23.4,74,5,SSE,19,1015.8,23.8,75,7,SSE,17,1012.7
,2021-05-23,20.4,27.5,1.6,,,SE,44,14:14,23.8,74,1,S,15,1015.9,26.9,62,8,SE,30,1014.2
,2021-05-24,20.8,25.1,6.6,,,SE,39,12:43,21.4,91,8,SSE,15,1019.2,22.8,82,8,S,17,1016.7
,2021-05-25,20.3,26.6,8.2,,,SE,44,12:23,23.9,74,,SSE,15,1019.3,26.2,66,3,SE,26,1016.4
,2021-05-26,18.9,24.9,4.2,,,SSE,41,13:40,21.4,84,8,S,17,1018.3,24.0,78,8,SE,22,1015.8
,2021-05-27,19.1,27.4,1.0,,,SE,43,12:42,22.9,75,8,S,7,1018.9,26.7,47,,SE,26,1016.0
,2021-05-28,17.7,27.6,0,,,SE,44,14:07,23.9,66,2,SSE,15,1018.4,23.4,67,8,S,19,1016.3
,2021-05-29,18.5,26.2,0,,,,,,22.8,52,,SSE,22,1017.7,25.2,49,4,SE,24,1014.2
,2021-05-30,19.6,26.5,,,,SSE,37,19:33,22.0,68,8,S,17,1016.2,24.4,70,8,S,15,1013.6
,2021-05-31,19.4,26.4,21.6,,,SSE,46,11:53,21.8,83,8,SSE,13,1017.3,24.9,71,8,SSE,19,1014.6
