"Daily Weather Observations for Cairns, Queensland for September 2021"
"Prepared at 13:01 UTC on Sunday  8 May 2022   IDCJDW4024.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,22.9,28.9,0.6,,,SE,48,11:46,26.0,74,8,SE,26,1018.5,26.2,67,8,SE,33,1017.2
,2021-09-2,21.8,29.1,0.4,,,ESE,50,12:39,25.0,71,8,SE,28,1019.4,26.5,54,8,SE,35,1016.4
,2021-09-3,20.6,28.8,0.2,,,SE,44,12:34,25.2,61,7,SSE,20,1018.4,27.2,52,,SE,26,1014.7
,2021-09-4,20.9,29.5,0.8,,,ESE,37,11:24,24.2,71,7,S,13,1016.9,23.2,79,8,SSE,9,1014.5
,2021-09-5,20.8,29.2,0.6,,,SE,37,09:48,24.7,65,1,SSE,20,1017.2,26.5,54,4,SE,22,1013.9
,2021-09-6,19.5,29.2,0,,,SE,50,13:21,25.0,65,8,SSE,19,1017.7,26.7,52,8,SE,26,1015.8
,2021-09-7,19.9,26.2,4.6,,,SE,59,10:17,22.8,66,4,SSE,26,1019.8,24.5,56,7,SSE,31,1018.5
,2021-09-8,20.1,27.1,0,,,SE,72,10:57,23.4,53,5,SSE,31,1022.0,25.6,53,8,SE,39,1020.0
,2021-09-9,19.1,26.6,2.8,,,SE,57,13:45,23.6,71,8,SE,35,1022.5,24.6,60,8,SE,37,1019.6
,2021-09-10,20.4,28.8,1.2,,,SE,52,11:59,23.9,67,8,SSE,26,1020.4,24.9,59,8,SE,33,1017.6
,2021-09-11,21.0,29.2,0,,,SE,41,11:42,24.1,70,8,SSE,20,1017.4,24.3,75,8,SE,15,1014.9
,2021-09-12,20.8,26.8,0.6,,,SE,31,12:38,23.3,78,8,SSE,13,1016.0,25.7,67,7,ESE,7,1013.5
,2021-09-13,19.8,30.3,0,,,ENE,30,16:30,26.2,65,,SSE,11,1016.1,28.7,58,,NE,20,1012.4
,2021-09-14,19.6,30.7,0,,,NE,35,12:29,25.7,67,,SSE,13,1017.0,28.6,62,,NE,15,1012.9
,2021-09-15,17.9,29.9,0,,,SE,41,10:06,26.1,63,1,SSE,20,1018.4,28.5,50,,SE,26,1014.7
,2021-09-16,18.5,29.1,0,,,ESE,41,12:27,25.2,57,,SSE,20,1019.2,27.6,43,,ESE,26,1015.2
,2021-09-17,17.8,29.1,0,,,ESE,43,14:14,24.5,60,4,SSE,15,1019.6,27.9,45,1,ESE,26,1016.9
,2021-09-18,21.4,29.6,0,,,SE,59,12:52,26.5,49,7,ESE,28,1019.9,26.9,47,1,SE,33,1016.9
,2021-09-19,20.7,29.7,0,,,SE,50,10:05,25.4,59,8,SSE,19,1019.5,27.0,54,1,ESE,31,1016.2
,2021-09-20,20.9,29.4,0,,,SE,41,09:59,24.6,61,8,SSE,17,1018.6,27.8,48,2,ESE,24,1014.4
,2021-09-21,17.5,30.2,0,,,S,28,00:01,25.2,56,,SE,15,1016.4,28.3,52,,NE,15,1011.9
,2021-09-22,17.5,26.4,0,,,SE,63,10:31,23.9,32,,SSE,33,1017.6,24.3,45,,SE,35,1016.2
,2021-09-23,15.6,28.3,0,,,SE,48,09:49,24.2,49,7,SSE,24,1019.6,26.6,44,4,SSE,30,1016.4
,2021-09-24,20.2,29.0,0,,,SE,41,10:00,25.1,60,,SSE,19,1017.8,25.0,60,8,SE,26,1014.7
,2021-09-25,21.2,30.1,0,,,ESE,35,13:50,25.0,66,8,S,13,1016.9,27.2,56,8,ESE,20,1013.1
,2021-09-26,20.9,30.8,0,,,ENE,39,13:52,26.1,59,3,SSE,19,1015.0,28.4,52,,NE,22,1011.2
,2021-09-27,20.7,31.1,0,,,SE,37,16:45,26.5,59,,SSE,13,1014.7,29.1,51,,ESE,20,1010.8
,2021-09-28,21.7,30.7,0.8,,,SE,35,11:01,26.3,74,,SSE,19,1016.0,29.2,55,,SE,20,1012.5
,2021-09-29,23.1,30.5,0.2,,,E,33,10:51,27.4,68,8,E,15,1016.9,28.6,61,4,ENE,20,1012.9
,2021-09-30,21.6,27.2,0,,,E,20,11:13,25.4,71,7,SSE,4,1016.3,26.4,66,8,SE,13,1012.4
