"Daily Weather Observations for Cairns, Queensland for October 2021"
"Prepared at 16:01 UTC on Saturday  7 May 2022   IDCJDW4024.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,18.8,29.8,0.2,,,NE,28,12:18,27.0,61,5,ENE,6,1012.7,27.0,66,8,NE,17,1008.7
,2021-10-2,22.2,32.5,0,,,NE,26,10:55,28.2,61,5,E,6,1010.1,27.6,70,,N,13,1006.3
,2021-10-3,21.4,30.4,0,,,NNE,28,10:37,28.3,67,,NNE,13,1009.6,29.0,69,1,N,13,1006.3
,2021-10-4,21.1,31.0,0,,,N,24,10:25,29.1,62,,ESE,4,1009.5,28.8,71,1,NNE,13,1006.3
,2021-10-5,21.9,31.9,0,,,NE,26,13:26,28.5,64,7,SW,4,1011.7,29.3,70,,NNE,13,1008.3
,2021-10-6,22.6,32.5,0,,,ENE,31,13:21,28.7,61,2,SSE,9,1013.1,30.1,61,,ENE,22,1009.2
,2021-10-7,21.9,31.6,0,,,E,30,16:29,27.9,62,4,SSE,9,1013.4,30.0,54,,NE,20,1010.5
,2021-10-8,21.2,31.6,0,,,NE,30,11:58,28.5,61,,SSE,11,1014.5,30.2,56,,ENE,22,1011.9
,2021-10-9,22.2,32.2,0,,,SE,35,14:45,28.4,58,1,SE,17,1015.2,30.3,48,,ESE,22,1012.2
,2021-10-10,22.5,31.8,0,,,ESE,35,14:19,28.4,58,,SE,13,1014.0,30.1,46,,E,19,1010.1
,2021-10-11,20.5,30.9,0,,,NE,28,12:50,27.4,59,,SSE,13,1012.1,29.1,53,,ENE,15,1009.2
,2021-10-12,20.6,30.7,0,,,NE,26,12:49,28.4,57,,ESE,7,1011.1,28.5,59,,N,13,1007.6
,2021-10-13,19.6,30.6,0,,,NNE,24,13:21,27.7,63,,ENE,4,1011.2,28.3,67,1,N,13,1007.6
,2021-10-14,22.4,31.1,0,,,N,30,09:49,27.5,62,8,NW,7,1010.5,29.0,66,2,NNE,15,1008.2
,2021-10-15,21.4,31.0,5.0,,,N,31,15:09,23.1,87,5,W,7,1012.6,29.5,65,,N,17,1008.3
,2021-10-16,20.0,34.2,2.6,,,NNE,35,13:04,28.4,62,,SSE,9,1012.6,33.3,21,,ESE,19,1008.3
,2021-10-17,21.7,32.9,0,,,N,26,14:54,29.8,58,,SE,9,1013.0,30.3,63,,NNE,17,1009.0
,2021-10-18,22.7,31.8,0,,,NE,30,13:02,29.0,59,8,NE,6,1015.4,28.9,69,4,NNE,15,1011.6
,2021-10-19,21.2,31.1,0,,,N,28,13:58,29.2,63,,NW,4,1015.9,29.5,65,,NNE,13,1011.7
,2021-10-20,22.4,32.7,0,,,N,35,10:48,30.0,60,,NNW,13,1013.7,30.4,65,,N,20,1008.3
,2021-10-21,26.0,32.6,0.4,,,NNE,31,13:48,28.4,80,8,N,13,1012.4,29.1,69,1,NNE,19,1008.5
,2021-10-22,25.6,31.9,0,,,NE,30,12:58,29.6,68,2,N,13,1014.4,28.2,73,2,NNE,9,1011.9
,2021-10-23,24.1,32.1,0,,,NE,26,12:58,30.2,59,8,ESE,7,1016.7,29.2,64,6,NE,15,1014.2
,2021-10-24,21.9,31.4,0,,,ENE,26,15:00,29.3,61,7,NE,9,1015.9,29.8,55,,NE,17,1012.9
,2021-10-25,20.3,,0,,,,,,28.8,58,,SSE,9,1014.9,30.1,54,,ENE,19,1011.3
,2021-10-26,20.6,33.2,,,,NE,43,13:35,28.3,60,8,S,11,1015.3,31.2,48,,E,22,1012.4
,2021-10-27,23.2,33.2,0,,,NE,33,13:27,29.6,58,1,ESE,9,1015.9,31.4,49,,ENE,22,1012.3
,2021-10-28,23.1,31.9,0,,,NE,30,13:56,30.0,57,,SSE,17,1015.9,30.5,56,,NE,19,1011.3
,2021-10-29,21.1,31.8,0,,,NE,24,10:58,29.1,56,1,E,6,1014.4,30.2,59,,NE,15,1012.0
,2021-10-30,23.0,32.4,0,,,NE,28,13:37,29.5,61,1,SSE,11,1015.5,30.7,60,,NE,19,1011.7
,2021-10-31,22.4,33.7,0,,,ENE,30,12:42,30.2,60,1,ESE,7,1015.1,32.3,50,,ENE,19,1011.5
