"Daily Weather Observations for Cairns, Queensland for November 2021"
"Prepared at 13:01 UTC on Friday  6 May 2022   IDCJDW4024.202111"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-11-1,25.4,34.6,0,,,ESE,43,13:13,30.8,58,8,ESE,26,1016.5,32.0,53,1,SE,31,1013.4
,2021-11-2,24.1,32.0,2.6,,,SE,41,15:14,28.1,73,8,ESE,22,1017.4,29.3,60,8,SE,26,1013.8
,2021-11-3,23.1,32.0,1.2,,,SE,41,19:12,29.3,60,1,SE,24,1017.4,29.5,58,8,ESE,28,1013.7
,2021-11-4,22.1,31.1,7.0,,,SE,46,11:16,24.9,87,8,S,13,1015.9,30.1,52,,ESE,30,1011.6
,2021-11-5,22.3,32.2,1.0,,,SE,44,12:57,28.2,69,,S,17,1013.9,30.2,52,,ESE,24,1010.1
,2021-11-6,21.8,33.1,0.2,,,SE,31,11:15,29.0,59,,SSE,17,1011.8,31.3,46,,SE,13,1008.1
,2021-11-7,22.5,32.2,0,,,ENE,28,15:18,29.8,58,1,S,6,1011.4,30.6,58,,NE,19,1008.3
,2021-11-8,24.1,32.4,0.8,,,NNE,24,14:27,28.2,82,8,SE,4,1011.9,30.6,64,1,N,15,1008.3
,2021-11-9,26.0,31.9,0,,,N,26,11:24,29.9,69,,N,13,1010.9,30.3,68,1,NE,13,1008.1
,2021-11-10,23.9,33.1,0,,,NNE,24,11:18,30.2,69,7,NNE,9,1011.5,30.7,64,1,NNE,13,1008.1
,2021-11-11,23.7,32.9,0,,,N,26,12:15,31.2,67,1,NE,9,1010.0,32.1,62,1,NNE,17,1006.4
,2021-11-12,26.4,33.5,0,,,N,31,11:59,32.1,59,1,NE,11,1009.0,31.1,70,4,N,20,1005.1
,2021-11-13,25.6,34.3,0,,,SE,37,11:23,29.7,68,,SSE,17,1010.2,31.5,47,,ESE,24,1007.6
,2021-11-14,23.8,32.9,0,,,SE,35,18:11,30.5,46,,SSE,19,1012.3,30.2,57,,SE,19,1009.3
,2021-11-15,25.6,33.7,0,,,SE,30,18:15,30.3,61,4,SSE,17,1011.6,31.3,61,7,ENE,17,1009.0
,2021-11-16,24.9,33.7,0.6,,,,,,26.6,83,8,NW,6,1012.3,31.3,65,8,ENE,17,1009.6
,2021-11-17,25.3,33.0,,,,E,31,16:19,26.6,86,8,S,9,1013.3,31.4,61,8,SE,15,1010.3
,2021-11-18,23.7,32.8,13.8,,,SE,46,16:58,25.0,82,7,S,19,1014.4,30.3,56,8,SE,28,1010.8
,2021-11-19,23.6,32.3,7.2,,,SE,46,14:36,30.2,58,8,SE,28,1014.1,30.0,46,8,ESE,33,1012.0
,2021-11-20,22.8,32.7,2.4,,,SE,37,10:20,27.6,64,6,SE,24,1013.7,31.2,43,,ESE,24,1010.5
,2021-11-21,21.5,31.1,0,,,ENE,28,10:47,28.4,55,,SSE,13,1012.1,29.9,52,,NE,17,1008.3
,2021-11-22,20.9,31.0,0,,,NNE,24,11:41,27.5,54,,NNE,6,1011.3,28.9,56,,NNE,13,1007.0
,2021-11-23,23.9,32.5,0,,,N,28,10:10,30.7,56,,NNW,13,1009.4,31.2,62,,NNE,11,1006.9
,2021-11-24,24.5,32.4,0,,,NE,20,10:53,30.1,62,8,ESE,6,1010.5,30.9,66,,ENE,13,1007.9
,2021-11-25,24.0,32.1,0.4,,,ENE,35,10:30,26.9,79,8,SSE,15,1010.5,31.1,57,5,NNE,11,1005.9
,2021-11-26,24.7,32.5,0,,,N,35,04:23,29.9,69,8,N,7,1009.0,28.9,68,8,N,11,1005.6
,2021-11-27,23.8,32.4,2.0,,,NE,24,15:11,27.6,78,6,SE,11,1009.6,30.7,65,,NE,15,1006.9
,2021-11-28,23.7,32.0,28.8,,,SSE,28,18:36,30.1,69,5,NE,6,1010.4,30.1,74,,NNE,11,1008.0
,2021-11-29,24.1,32.4,14.2,,,SSE,26,08:53,26.7,88,7,SSE,20,1011.5,31.2,58,7,ENE,13,1008.0
,2021-11-30,24.0,32.0,13.2,,,NE,31,14:02,29.7,68,,SSE,11,1009.7,30.0,74,8,NE,13,1006.9
