"Daily Weather Observations for Cairns, Queensland for February 2022"
"Prepared at 13:01 UTC on Tuesday  3 May 2022   IDCJDW4024.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cairns Aero {station 031011}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,24.2,31.8,0,,,N,26,11:28,30.1,64,,NNW,2,1006.8,30.9,70,8,N,11,1003.2
,2022-02-2,24.4,32.9,0.8,,,N,24,11:58,30.8,65,,ENE,4,1004.4,30.9,74,8,NNE,13,1002.3
,2022-02-3,24.7,34.1,3.2,,,WNW,33,13:28,30.6,70,,ESE,2,1002.6,29.0,76,8,WSW,19,999.6
,2022-02-4,24.3,33.4,8.6,,,WNW,35,11:30,26.9,79,8,W,15,1002.9,32.7,57,8,WNW,11,998.7
,2022-02-5,24.1,29.7,1.6,,,SE,44,13:16,26.5,80,8,S,13,1004.3,27.5,78,8,SE,19,1002.9
,2022-02-6,23.9,32.0,2.2,,,SSE,35,16:31,27.2,70,6,SSE,19,1008.4,29.6,62,8,SSE,20,1006.8
,2022-02-7,22.8,31.4,0.6,,,SSE,43,23:07,27.5,70,7,SSE,13,1011.2,29.8,55,8,SSE,22,1008.8
,2022-02-8,22.6,30.9,0.2,,,SE,28,16:44,27.8,66,8,S,13,1011.5,29.9,54,8,ESE,17,1008.1
,2022-02-9,23.1,32.0,0.4,,,ENE,30,13:49,28.4,69,,S,9,1011.4,30.5,57,8,E,20,1008.8
,2022-02-10,21.9,32.0,0,,,NE,24,12:17,28.2,69,,SE,9,1011.3,30.5,63,,NNE,15,1007.8
,2022-02-11,22.1,30.9,0,,,N,22,13:07,28.4,68,4,ESE,6,1009.5,30.2,65,,NE,13,1005.8
,2022-02-12,22.4,32.6,0,,,E,35,14:32,27.9,68,5,SE,13,1009.3,31.8,51,,ESE,22,1006.8
,2022-02-13,23.6,32.5,0,,,SE,54,17:22,29.1,63,,SSE,20,1011.4,30.5,49,8,SE,31,1009.0
,2022-02-14,23.5,31.3,11.0,,,SE,63,13:23,24.8,89,8,S,17,1012.3,26.7,79,8,ESE,28,1009.7
,2022-02-15,23.6,28.6,17.2,,,ESE,43,10:09,26.2,86,8,S,17,1011.2,26.0,91,8,SSE,11,1009.2
,2022-02-16,24.0,32.2,46.6,,,SE,33,17:22,28.5,77,,S,11,1009.1,31.2,63,8,E,19,1006.4
,2022-02-17,24.4,31.0,15.2,,,SE,39,12:22,25.9,86,8,S,17,1009.2,29.0,74,8,E,13,1006.6
,2022-02-18,24.2,33.3,1.2,,,SE,43,17:57,28.9,76,,SSE,13,1008.4,32.6,55,,ESE,20,1005.9
,2022-02-19,25.5,32.6,0,,,SE,41,12:48,29.5,74,8,SSE,15,1008.9,31.9,63,3,ESE,24,1006.1
,2022-02-20,24.7,31.5,8.8,,,SSE,35,13:34,27.0,80,8,SSE,17,1007.9,30.5,66,8,SSE,19,1004.3
,2022-02-21,24.4,33.3,0.2,,,,,,29.1,69,7,SSE,13,1006.8,31.1,64,8,ESE,17,1003.7
,2022-02-22,24.8,31.9,,,,SSE,26,16:15,29.5,69,,SE,13,1007.5,29.7,71,8,SE,19,1005.0
,2022-02-23,24.0,33.3,0,,,E,28,14:52,28.4,70,8,WSW,6,1008.3,31.2,68,8,E,19,1005.2
,2022-02-24,24.1,33.3,0.4,,,NE,31,14:06,28.8,74,7,SE,9,1008.1,30.9,68,8,SE,17,1004.2
,2022-02-25,24.8,32.9,0.8,,,S,43,14:27,29.1,71,7,NNW,2,1006.2,24.0,80,8,S,20,1002.7
,2022-02-26,23.0,37.4,3.6,,,W,33,15:40,31.7,61,,E,6,1004.5,37.0,33,,WSW,13,1000.1
,2022-02-27,28.2,37.2,0,,,W,41,05:34,32.0,59,4,SSW,4,1005.0,36.7,42,,WNW,13,1000.1
,2022-02-28,26.0,33.6,4.6,,,S,44,02:55,27.2,86,8,ESE,7,1006.0,30.9,75,7,NNE,9,1002.8
