"Daily Weather Observations for Cairns, Queensland for August 2021",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Monday  9 May 2022   IDCJDW4024.202108,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Cairns Aero {station 031011},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/08/2021,17.6,28.6,0,,,NNE,24,12:58,24.9,72,,ESE,7,1018.1,27,59,,NE,15,1014
,2/08/2021,18.9,27.8,0.8,,,SE,39,13:59,23.1,74,,SSE,15,1017.2,27.1,49,,ESE,24,1014.6
,3/08/2021,16.7,29.1,0,,,ENE,30,14:55,23.7,58,,SSE,19,1017.5,27.3,50,,ENE,22,1014
,4/08/2021,17.6,28.8,0,,,E,28,14:27,23.3,67,,SE,13,1018.3,26.6,60,1,ESE,17,1014.6
,5/08/2021,16.9,26.6,0,,,SE,44,15:03,21.9,33,,SSE,22,1019.8,24.4,46,,SE,31,1017
,6/08/2021,13.6,25.9,0,,,SE,41,15:35,21.1,53,,SSE,15,1021.3,22.8,47,8,SE,26,1018.5
,7/08/2021,17,26.6,0,,,SSE,39,13:29,22,59,,SSE,19,1021,25.1,52,4,SSE,22,1018
,8/08/2021,18.8,26.1,3.2,,,SE,50,12:44,22.3,79,4,SSE,20,1020.8,24,65,8,SSE,19,1018.5
,9/08/2021,20.2,24.4,0,,,SSE,41,11:28,23,76,6,SSE,19,1020.2,21.3,91,8,SE,11,1017.9
,10/08/2021,19.8,23.6,4.4,,,SE,37,11:42,21.8,82,8,SSE,15,1020.1,22.8,77,7,SSE,17,1017.8
,11/08/2021,19,28.8,0.6,,,SE,37,13:09,23.4,69,,SSE,19,1020.8,27.3,57,,ESE,24,1018.5
,12/08/2021,20.7,25.4,0.2,,,SE,41,13:03,21.2,91,8,S,15,1020.9,23.2,74,8,SSE,20,1018.3
,13/08/2021,20.4,28.9,3,,,SE,50,11:13,24,73,,SSE,24,1019.5,26,62,8,SE,28,1016.3
,14/08/2021,20.9,27.1,0.6,,,SE,46,14:09,21.6,87,8,SSE,20,1020,24.1,74,8,SSE,26,1016.9
,15/08/2021,20.1,27.6,3,,,SE,46,12:32,21.9,82,8,S,20,1020.3,25.3,66,8,SSE,15,1017.7
,16/08/2021,20.1,27.4,0.6,,,SE,43,13:05,23.8,69,2,SSE,22,1019.4,25.6,67,6,SE,33,1016.5
,17/08/2021,18,28.3,0,,,SE,43,13:37,24.5,64,,SSE,17,1018.1,27.1,46,,ESE,28,1014.1
,18/08/2021,18.2,27.6,0,,,SE,33,13:13,23.6,61,1,S,15,1017.6,24.5,59,8,SE,26,1015
,19/08/2021,16.6,27.4,0,,,SSE,37,10:53,23.3,59,,SSE,17,1018,26.6,49,,SE,24,1014.6
,20/08/2021,18.7,28.5,0,,,ESE,41,12:15,24.3,67,1,SSE,20,1017.6,26.5,59,8,SE,30,1014.7
,21/08/2021,21.5,29.2,0,,,SE,44,11:13,25.1,75,8,S,17,1017.2,27.1,66,8,SE,30,1014.2
,22/08/2021,21.2,25.8,3.8,,,SE,43,14:24,22.7,82,8,S,19,1018.1,24.9,74,8,SE,24,1015.3
,23/08/2021,21.2,28.8,0.2,,,S,28,2:44,23.6,73,1,SSE,15,1017.5,27.6,52,,SE,13,1013.1
,24/08/2021,17.9,29.7,0,,,SE,30,16:16,24.6,65,,SE,9,1015.1,28.6,58,,ESE,17,1011
,25/08/2021,18.5,27.9,0,,,SE,33,11:42,24.2,45,,SSE,17,1016.3,27,34,,SE,22,1013
,26/08/2021,19.7,28.6,0,,,E,28,11:59,22.8,71,8,ESE,17,1016.7,26.7,61,7,E,19,1013.5
,27/08/2021,21.3,29.5,0,,,S,28,7:26,25.2,70,4,SSE,17,1016.5,28.2,59,4,ESE,19,1013.3
,28/08/2021,22.1,30.3,0,,,E,28,13:55,25.7,71,3,SSE,11,1016.3,28.7,58,4,E,17,1013
,29/08/2021,21.5,30.1,0,,,ESE,28,14:31,26.1,66,,S,13,1015.1,27.6,61,7,ESE,19,1012.9
,30/08/2021,21.8,30,0,,,SE,37,11:22,25.1,75,8,SSE,17,1015.4,29.3,61,1,ESE,13,1012.7
,31/08/2021,23.5,30.1,0.8,,,ESE,43,19:37,26,80,8,SE,7,1017.2,27.4,71,8,E,24,1015.2
