"Daily Weather Observations for Cairns, Queensland for July 2021",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Tuesday 10 May 2022   IDCJDW4024.202107,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Cairns Aero {station 031011},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/07/2021,21.4,27.6,27.6,,,S,28,9:10,23.7,86,8,S,13,1016.9,26.1,70,8,E,17,1014.5
,2/07/2021,20.6,27.5,0.4,,,S,31,1:40,23.9,74,,SSE,11,1016,27.2,61,,E,15,1012.5
,3/07/2021,18.2,27.1,0,,,SE,30,15:21,23,73,5,SW,4,1014.2,25.3,70,8,SE,24,1011.4
,4/07/2021,20.9,27.8,0,,,SSE,37,10:17,23.6,62,1,SSE,24,1015.9,25.3,58,6,SE,26,1013.2
,5/07/2021,18.5,26.3,0,,,SSE,43,7:57,22.2,67,8,SSE,20,1016.6,25.1,53,7,SE,22,1011.9
,6/07/2021,20.7,27.1,0,,,SSE,37,12:18,23.6,70,8,S,19,1015.3,26,65,8,SE,20,1011.9
,7/07/2021,20.9,24,0,,,SSE,31,8:30,21.5,92,8,SSE,19,1015.9,23.6,83,8,S,13,1013.4
,8/07/2021,21,23.6,11.4,,,S,28,18:59,21.3,96,8,SSE,13,1016.8,23,91,8,S,13,1014.1
,9/07/2021,19.9,27.6,14.8,,,ENE,22,15:24,23.6,86,8,SE,6,1014.9,26.9,68,7,ENE,6,1012.7
,10/07/2021,21.4,27.4,0,,,SSE,35,10:09,23.1,80,8,S,19,1016.9,26.4,56,8,SE,20,1014.1
,11/07/2021,19.2,26.4,0,,,ESE,39,10:56,23.2,65,,SSE,17,1018.1,25.3,54,,SE,30,1014.9
,12/07/2021,19.9,25.9,0,,,SSE,31,10:42,22.5,65,4,S,19,1017.1,24.5,60,8,ESE,19,1014.4
,13/07/2021,20.4,25.5,0,,,SE,35,13:15,22.9,73,1,S,13,1016,24.1,72,8,SE,17,1014
,14/07/2021,19.9,26.8,0,,,S,30,6:02,22.8,67,6,SSE,15,1015.7,24.7,75,7,ENE,9,1012.8
,15/07/2021,20.3,28.6,0.2,,,NE,28,13:54,24.5,79,1,ESE,9,1015.3,27.6,65,1,ENE,13,1011.4
,16/07/2021,18.5,29.1,0,,,NNE,26,15:32,23.5,84,7, ,Calm,1014.5,27.4,66,8,N,7,1011
,17/07/2021,19.3,29.4,0,,,SSE,26,19:54,25.6,75,,SSE,7,1013,28.3,62,1,NE,7,1009.7
,18/07/2021,21.6,28,0,,,S,35,8:49,24,53,,SSE,24,1015.4,26.2,46,,ESE,15,1012.2
,19/07/2021,20.4,26.8,0,,,S,30,1:57,22.3,73,4,SE,15,1017.2,26.1,65,8,ENE,9,1013.4
,20/07/2021,21.6,27.8,0,,,NNE,24,12:33,24,73,5,ESE,7,1016,25.9,72,3,NNE,11,1013.2
,21/07/2021,19.7,26.9,0,,,S,33,8:10,23.9,47,,SSE,20,1016.5,25.8,47,,ESE,13,1013.1
,22/07/2021,13.1,26,0,,,NE,41,14:26,21,58,,SW,4,1016.7,25.1,54,,NE,13,1012.7
,23/07/2021,15.6,26.1,0,,,N,20,12:19,22.1,76,, ,Calm,1015.3,25,64,,NNE,11,1011.7
,24/07/2021,16.3,26.5,0,,,N,24,12:30,22.2,74,,W,6,1014.5,25.5,73,,N,15,1011.5
,25/07/2021,18.2,27.9,0,,,SSE,37,9:26,22.9,80,,SSE,17,1015.2,26.5,46,,SE,22,1014.4
,26/07/2021,17.7,27.5,0,,,SE,35,15:58,23,62,,SE,19,1018.3,25.8,56,,SE,26,1015.3
,27/07/2021,20.1,27.3,0,,,SE,26,17:07,22.9,67,5,S,15,1018.5,25.2,61,3,ESE,13,1015.9
,28/07/2021,18,28.1,0,,,NE,26,13:31,22.4,73,8,SE,9,1017.9,26.2,62,5,E,19,1014.1
,29/07/2021,15,26.8,0,,,NE,26,13:38,21.5,78,, ,Calm,1016.3,25.6,63,,NNE,13,1013.2
,30/07/2021,15.3,27.6,0,,,NNE,19,11:58,21.9,81,,WNW,4,1016.8,27.2,64,,NE,7,1013.5
,31/07/2021,18.5,28.8,0,,,E,28,13:06,24.8,68,3,S,9,1018.8,28,59,,ENE,19,1014.9
,,,,,,,,,,,,,,,,,,,,,
MIN,,13.1,23.6,,,,,,,21,47,,,,,23,46,,,,
MAX,,21.6,29.4,,,,,,,25.6,96,,,,,28.3,91,,,,
AVG,,19.1,27.09032258,,,,,,,23.01290323,72.80645161,,,,,25.83548387,63.25806452,,,,
