"Daily Weather Observations for Melbourne Airport, Victoria for March 2021"
"Prepared at 13:01 UTC on Wednesday 13 April 2022   IDCJDW3049.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,11.6,24.5,0,6.4,6.3,SW,54,14:41,16.4,74,6,WSW,19,1012.2,21.3,42,6,WSW,33,1012.1
,2021-03-2,10.1,17.2,0,6.2,1.4,S,44,10:05,12.9,53,7,SW,19,1018.0,16.5,40,7,S,31,1018.3
,2021-03-3,12.8,17.4,0,4.4,2.1,SSW,33,23:02,14.3,63,7,SW,20,1020.0,16.6,55,7,S,28,1019.7
,2021-03-4,9.5,21.8,0,4.0,2.6,SW,46,20:15,14.6,61,7,SW,20,1017.3,20.6,49,7,SW,28,1015.1
,2021-03-5,12.3,18.6,0.6,4.4,3.6,SSW,46,23:49,13.4,76,7,SW,22,1015.1,16.8,44,7,S,28,1015.3
,2021-03-6,13.3,21.3,0,5.6,10.0,S,35,00:03,14.4,58,7,S,20,1014.7,20.5,42,2,SSE,19,1013.6
,2021-03-7,10.0,29.8,0,6.0,7.9,NNW,54,11:21,13.2,84,6,NNE,13,1011.8,28.2,18,6,N,9,1008.1
,2021-03-8,13.1,18.7,0.6,6.0,0.0,SSW,31,16:09,16.2,94,8,SW,11,1010.5,16.3,94,8,SSW,13,1010.3
,2021-03-9,12.3,20.6,5.2,0.2,6.9,S,37,12:49,14.0,85,7,WSW,17,1017.0,19.0,62,4,S,22,1017.7
,2021-03-10,13.0,22.3,0.2,6.8,7.2,S,35,15:25,14.3,89,7,SW,6,1021.8,21.6,42,1,SSW,13,1019.2
,2021-03-11,10.7,27.0,0,5.0,4.6,NE,37,13:32,13.9,92,7,NNE,13,1018.5,25.8,43,7,NNE,17,1015.9
,2021-03-12,13.0,31.0,0,4.0,10.1,NNE,33,09:34,17.5,87,1, ,Calm,1016.8,29.5,30,7,NNE,13,1013.0
,2021-03-13,17.4,27.8,0,9.6,0.3,NNE,59,06:26,23.5,52,7,NNE,28,1007.3,18.5,86,8,WSW,15,1010.7
,2021-03-14,7.8,18.1,13.2,7.4,10.0,SSE,43,15:19,11.8,63,1,SW,20,1020.9,16.3,44,5,S,22,1021.3
,2021-03-15,7.4,21.1,0,2.4,5.2,WSW,31,09:47,13.5,72,5,NNE,13,1024.5,19.4,59,7,S,15,1023.2
,2021-03-16,13.5,22.6,0.6,2.2,8.0,S,30,14:53,15.1,78,7,SE,11,1026.7,21.7,49,1,S,17,1024.5
,2021-03-17,10.8,27.5,0,2.8,9.9,SSE,33,17:42,15.1,87,0,NE,6,1025.1,26.1,41,2,SSE,11,1022.5
,2021-03-18,10.8,26.2,0,5.8,5.1,S,31,14:53,15.2,91,7,WNW,9,1025.9,25.1,39,7,SSE,13,1024.0
,2021-03-19,12.3,27.0,0,5.2,6.1,SE,35,18:00,15.9,90,7,N,7,1027.1,25.6,47,3,SSE,13,1025.2
,2021-03-20,12.0,24.7,0,5.4,5.3,ESE,31,14:43,15.9,90,1,WNW,11,1027.4,23.9,46,7,SSW,11,1024.2
,2021-03-21,15.5,19.8,3.0,3.0,0.0,WSW,20,07:28,16.8,97,8,W,11,1022.8,19.7,93,8,SSW,9,1020.2
,2021-03-22,16.4,24.5,5.0,2.6,1.8,NNE,44,09:45,17.9,92,7, ,Calm,1018.9,21.3,70,7,NE,30,1015.9
,2021-03-23,17.3,21.7,14.8,0.6,0.6,SSW,37,15:07,17.5,97,7,SW,9,1007.3,20.7,73,7,SSW,24,1002.8
,2021-03-24,15.7,21.9,0.2,2.2,1.7,S,33,12:39,16.5,96,7,WNW,15,999.9,20.0,73,7,SSW,24,999.7
,2021-03-25,14.2,19.9,4.0,2.8,3.1,SW,52,14:30,14.8,82,7,WSW,30,1005.5,16.7,71,7,WNW,26,1007.1
,2021-03-26,9.2,21.2,0,2.8,6.5,N,35,16:03,13.1,74,1,N,17,1013.6,19.8,47,7,N,20,1011.3
,2021-03-27,13.0,21.5,1.0,3.8,4.1,WSW,44,13:22,14.6,83,7,WNW,9,1010.8,19.4,37,2,WSW,31,1010.8
,2021-03-28,9.1,19.5,0,4.4,3.9,SW,35,11:12,13.4,77,6,WNW,15,1018.7,18.1,55,7,WSW,19,1018.5
,2021-03-29,11.3,18.9,0.6,2.8,8.0,SSE,44,15:30,13.5,92,7,SW,13,1024.2,17.9,49,7,S,22,1024.3
,2021-03-30,7.0,19.9,0,3.6,10.2,S,33,14:42,11.2,85,7,W,9,1026.9,19.2,43,1,SSW,19,1025.5
,2021-03-31,11.0,23.9,0,3.2,8.9,S,22,16:42,15.2,80,7,E,6,1026.4,23.1,50,1,S,6,1023.6
