"Daily Weather Observations for Melbourne Airport, Victoria for July 2021"
"Prepared at 13:01 UTC on Saturday  9 April 2022   IDCJDW3049.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,9.2,16.0,0,1.4,8.9,N,56,11:41,11.5,85,1,N,31,1022.2,15.6,61,1,NNE,33,1019.5
,2021-07-2,8.9,14.5,0.2,2.8,1.7,NNE,50,13:52,11.3,89,6,N,22,1014.8,12.6,82,7,NNE,31,1011.0
,2021-07-3,4.2,10.2,4.6,2.8,4.5,NNE,52,10:47,6.6,83,5,NNE,24,1016.2,8.4,65,5,N,26,1015.1
,2021-07-4,3.9,13.4,0,1.2,3.5,WNW,54,14:07,7.5,81,3,NNE,26,1016.6,13.4,64,7,WNW,39,1016.2
,2021-07-5,3.6,12.5,0,1.6,1.9,WSW,35,12:58,8.8,78,7,N,13,1022.8,11.6,72,7,WSW,15,1021.8
,2021-07-6,4.7,11.7,0.6,1.0,0.6,NNE,30,16:55,7.0,80,7,NNE,15,1023.5,11.1,58,7,N,11,1022.6
,2021-07-7,4.6,11.7,0,0.8,2.2,NNE,28,10:52,8.4,67,6,N,9,1026.0,10.4,53,7,N,13,1024.1
,2021-07-8,0.4,11.4,0,1.8,8.3,N,30,06:02,4.5,77,2,N,13,1023.6,10.7,58,6,NNE,15,1019.6
,2021-07-9,-0.1,12.4,0,1.0,9.0,N,22,00:30,3.2,89,4,NNE,11,1017.6,12.1,57,2,SSE,9,1015.7
,2021-07-10,2.0,13.7,0,0.8,6.6,S,22,14:43,6.5,93,7,NNE,9,1024.3,13.1,65,1,SSE,11,1024.5
,2021-07-11,1.8,14.4,0,0.8,5.7,NNE,61,23:08,8.3,86,3,NNE,20,1025.8,12.8,61,7,NNE,30,1022.5
,2021-07-12,8.3,14.5,0,3.0,5.1,NNE,65,00:04,9.2,79,7,NNE,35,1018.2,14.1,56,1,NNE,37,1014.0
,2021-07-13,5.7,13.4,0,2.4,2.4,N,50,13:01,9.9,83,7,N,28,1014.3,12.0,78,7,NNE,26,1012.1
,2021-07-14,8.0,13.3,1.8,3.0,0.5,NNE,59,08:32,8.2,90,7,NNE,37,1004.9,12.6,76,7,N,28,1001.3
,2021-07-15,8.0,16.6,1.2,1.6,7.0,NNE,59,01:36,11.8,85,5,N,28,1000.2,15.5,68,4,N,24,997.1
,2021-07-16,9.3,14.2,0.8,0.8,2.4,NNW,54,12:07,9.5,82,7,N,19,989.9,13.5,64,5,NW,28,989.5
,2021-07-17,5.0,12.7,0,2.8,0.8,WSW,52,15:59,7.8,71,7,NNW,28,992.9,11.5,79,7,WSW,26,997.2
,2021-07-18,7.0,13.0,0.8,1.0,3.0,WSW,39,10:56,9.1,85,3,WNW,20,1014.8,12.2,65,7,WSW,17,1015.4
,2021-07-19,6.6,13.0,0,1.8,2.9,NNW,37,21:36,9.1,79,7,N,22,1016.3,11.8,71,7,N,17,1012.8
,2021-07-20,8.9,11.2,0.2,2.2,0.3,SW,67,16:25,9.6,85,7,NNE,28,1005.4,8.1,92,8,SW,26,1008.0
,2021-07-21,3.6,12.9,11.6,1.6,2.8,WSW,50,01:08,6.8,87,7,W,17,1020.8,12.1,66,6,WSW,22,1019.4
,2021-07-22,3.0,9.7,0.4,2.6,0.1,NNE,52,13:11,6.1,91,7,NNE,28,1015.7,9.0,73,7,NNE,26,1010.8
,2021-07-23,3.0,10.7,0,0.6,1.5,NNE,41,01:18,6.4,94,7,NNE,13,1006.9,9.6,70,7,NNE,19,1003.7
,2021-07-24,4.8,13.5,0.2,1.4,3.4,NNW,63,12:55,9.3,78,7,NNE,39,998.1,12.7,58,5,NW,22,996.0
,2021-07-25,4.5,12.0,0.8,3.6,7.2,WNW,59,01:54,7.3,65,1,NW,31,1004.1,10.9,60,7,NNW,24,1005.3
,2021-07-26,6.5,15.8,0,1.0,2.9,NW,48,11:52,11.4,79,7,N,22,1011.6,15.4,64,7,NNW,30,1010.4
,2021-07-27,7.7,16.9,0,3.4,4.3,NNE,81,15:09,9.5,75,2,N,31,1011.3,16.2,48,7,NNE,52,1003.8
,2021-07-28,9.5,16.4,0,5.4,4.7,NNE,67,00:01,14.2,67,6,NW,28,998.7,11.3,66,7,NNW,28,998.7
,2021-07-29,4.1,15.0,0.8,3.4,7.8,WNW,39,12:22,7.7,74,6,N,26,1013.9,13.7,56,1,NNW,22,1014.1
,2021-07-30,4.8,14.1,0,2.6,6.4,N,85,13:42,7.4,72,1,NNE,50,1014.7,12.8,55,7,NNE,48,1010.7
,2021-07-31,7.3,16.9,0,7.0,6.3,NNE,78,00:25,10.9,68,1,NNE,48,1006.3,16.0,55,6,NNE,37,1002.3
