"Daily Weather Observations for Melbourne Airport, Victoria for October 2021"
"Prepared at 13:01 UTC on Wednesday 20 April 2022   IDCJDW3049.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,13.0,20.8,16.4,2.8,5.8,NE,35,09:35,15.1,83,7,NNE,17,1005.8,20.1,51,5,NNE,13,1003.0
,2021-10-2,12.5,17.5,29.6,3.0,3.5,WSW,30,04:00,13.6,92,7,SW,19,1006.8,16.6,74,6,S,19,1005.2
,2021-10-3,10.4,21.8,0.8,1.4,5.9,N,43,21:03,13.8,86,4,NNE,13,1004.4,20.2,59,7,NNW,15,999.7
,2021-10-4,7.8,17.3,2.8,3.0,8.0,WNW,80,13:07,12.4,69,7,N,20,999.6,13.8,64,4,WNW,28,999.4
,2021-10-5,9.5,17.5,2.4,5.4,5.7,W,61,09:15,11.0,66,7,W,31,1008.4,16.7,48,4,WSW,35,1011.2
,2021-10-6,5.2,21.3,0,4.4,8.6,N,44,21:00,11.9,71,1,NNE,22,1014.6,20.4,41,5,N,22,1010.2
,2021-10-7,5.7,16.6,2.4,6.2,10.3,WSW,61,01:34,10.3,74,1,WSW,22,1012.4,14.2,52,7,WSW,24,1014.1
,2021-10-8,5.6,20.7,0,4.0,11.7,NNW,50,10:08,11.6,72,7,N,19,1017.2,18.7,45,7,N,30,1013.6
,2021-10-9,11.4,24.7,0,7.2,8.1,N,54,08:08,15.1,60,7,N,39,1011.8,22.8,33,6,N,28,1009.1
,2021-10-10,7.3,14.9,1.8,5.4,7.6,S,44,10:39,10.7,77,7,SW,17,1014.3,13.0,55,6,S,31,1012.8
,2021-10-11,4.3,13.8,0,4.0,4.4,S,39,12:49,7.9,77,5,ENE,7,1019.7,12.2,56,5,S,24,1018.7
,2021-10-12,2.6,20.5,0.4,2.8,9.9,NNE,33,12:33,9.4,77,0,WNW,9,1017.9,18.5,43,6,NE,17,1014.0
,2021-10-13,9.0,19.7,0,3.6,3.1,NE,48,12:32,13.6,75,7,N,9,1011.8,15.4,76,7,NNE,33,1007.9
,2021-10-14,5.7,18.4,14.6,6.2,10.0,NNE,44,08:04,10.4,82,1,NNE,31,1005.9,16.7,42,6,NW,9,1003.7
,2021-10-15,5.7,16.5,7.8,4.6,5.0,WSW,63,22:54,11.4,84,4,W,15,1004.3,11.4,83,7,W,24,1002.2
,2021-10-16,10.0,16.1,17.2,1.6,3.4,WSW,61,23:14,11.8,78,7,SW,33,1009.1,14.6,68,7,SW,22,1010.1
,2021-10-17,9.5,17.7,0.6,4.8,5.6,SW,26,23:17,12.2,71,7,W,9,1015.4,16.8,48,7,SW,9,1013.0
,2021-10-18,8.4,17.4,0,2.0,0.9,N,52,05:46,14.0,64,8,NNW,20,1013.1,16.5,64,8,SSW,13,1013.4
,2021-10-19,7.4,16.5,2.0,2.6,5.0,SSE,44,13:36,10.3,90,7,SW,19,1022.6,15.4,67,7,S,28,1022.2
,2021-10-20,6.2,23.1,0,3.2,12.0,SE,26,23:07,12.3,86,2,NNW,4,1022.0,22.1,39,2, ,Calm,1017.2
,2021-10-21,11.1,24.5,0,5.2,3.2,NNE,59,06:38,17.1,66,7,NNE,37,1014.9,22.8,48,6,NNE,33,1013.5
,2021-10-22,11.2,26.3,0,4.6,6.1,NNE,46,09:44,17.4,75,1,E,7,1015.6,24.8,46,7,NNE,26,1011.7
,2021-10-23,11.8,15.0,19.4,7.6,0.0,SW,39,16:00,12.3,96,8,SW,13,1015.2,11.4,87,8,SSW,24,1016.7
,2021-10-24,7.7,15.6,4.0,1.8,7.2,SSW,50,11:34,11.6,80,6,SW,26,1022.6,13.7,59,7,S,24,1022.0
,2021-10-25,8.7,14.5,0.6,4.4,5.1,S,41,14:53,9.7,76,7,SW,19,1022.0,13.6,60,6,S,22,1020.7
,2021-10-26,2.8,20.0,0,2.2,11.7,S,26,15:45,10.9,78,1,SSE,11,1021.2,18.8,47,1,NE,11,1017.7
,2021-10-27,6.5,26.9,0,4.8,10.9,NNE,56,09:32,16.8,58,1,NNE,35,1015.4,25.8,28,6,NNE,35,1012.3
,2021-10-28,13.6,27.3,0.8,9.2,5.4,NE,72,21:35,15.9,79,7, ,Calm,1010.7,26.6,43,7,N,30,1003.6
,2021-10-29,10.6,16.3,2.2,8.2,6.4,WNW,119,05:45,11.7,68,7,W,43,1003.3,14.6,53,6,WSW,37,1010.8
,2021-10-30,4.1,15.6,0.4,4.2,7.8,SW,54,15:36,11.3,64,1,W,22,1021.4,14.1,59,6,WSW,20,1021.1
,2021-10-31,4.4,20.8,0.6,2.0,12.9,S,26,16:54,11.5,80,1,W,9,1026.5,18.5,48,1,ENE,11,1023.5
