"Daily Weather Observations for Melbourne Airport, Victoria for December 2021"
"Prepared at 13:01 UTC on Monday 18 April 2022   IDCJDW3049.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,16.9,32.7,0,11.4,5.2,SSE,106,15:26,24.6,45,7,N,33,1012.5,32.2,37,4,NNE,31,1010.4
,2021-12-2,17.0,32.6,15.4,12.2,8.8,SSW,50,15:44,25.9,48,5,NNE,24,1013.7,31.1,35,7,NNW,13,1010.7
,2021-12-3,9.1,20.5,3.6,7.0,11.7,S,39,17:24,14.9,70,1,SW,13,1019.8,18.3,57,4,SSW,20,1018.6
,2021-12-4,8.6,18.8,0.2,6.8,2.7,SSE,43,18:10,14.1,67,6,SW,22,1019.5,15.7,71,7,S,28,1019.2
,2021-12-5,8.4,21.1,0,3.4,13.0,SSE,37,13:09,13.9,50,1,SSE,20,1021.9,19.4,47,6,SSE,15,1018.7
,2021-12-6,10.1,26.8,0,7.6,10.8,NNE,70,08:12,18.8,53,3,N,48,1014.2,26.1,42,6,N,31,1010.6
,2021-12-7,13.5,14.9,0,8.6,0.1,S,41,17:46,14.4,77,8,WSW,17,1012.4,14.5,69,7,SSW,22,1014.3
,2021-12-8,8.7,16.8,7.6,3.0,8.7,S,54,13:34,10.6,83,7,SSW,20,1018.0,15.7,47,2,S,35,1017.5
,2021-12-9,10.1,16.7,7.2,5.0,0.2,SSE,52,11:42,13.9,76,7,SSE,28,1017.3,15.0,78,8,S,28,1017.2
,2021-12-10,12.4,18.7,0.4,2.2,6.2,S,48,16:04,14.0,81,7,SSW,22,1017.7,18.1,61,7,S,30,1016.6
,2021-12-11,11.9,22.1,0.2,4.6,8.6,SE,39,07:37,16.3,66,5,SSE,24,1018.8,19.8,51,7,S,19,1016.7
,2021-12-12,8.1,28.3,0,6.2,13.0,NNE,37,11:14,15.5,73,1,SE,6,1017.6,26.8,36,1,NE,13,1013.7
,2021-12-13,12.5,32.2,0,8.0,8.3,N,54,09:38,24.6,42,1,NNE,37,1011.7,30.5,25,6,N,24,1010.2
,2021-12-14,14.7,23.3,0,10.4,11.2,S,31,12:37,17.4,73,7,S,11,1015.7,22.3,55,1,S,17,1013.2
,2021-12-15,13.2,16.6,0,6.0,0.0,WSW,31,08:07,15.9,87,8,SW,17,1013.6,16.0,79,8,S,22,1014.6
,2021-12-16,8.4,21.2,0,3.0,11.4,S,39,10:40,15.3,77,7,SSW,17,1017.4,20.5,38,1,SSE,24,1016.7
,2021-12-17,7.0,30.3,0,6.8,10.2,NNE,39,10:53,16.3,61,1,NNE,11,1014.3,29.4,30,6,NNE,28,1009.7
,2021-12-18,15.8,34.9,0,12.8,11.0,N,65,05:30,25.8,37,4,NNE,39,1004.8,24.1,58,4,SSE,31,1006.5
,2021-12-19,13.0,23.9,0.2,8.6,4.2,WSW,94,13:43,21.4,65,7,N,26,1001.8,15.4,80,7,W,56,1004.6
,2021-12-20,8.0,28.8,0.6,6.8,12.9,WSW,52,16:38,17.0,52,1,WNW,28,1014.1,26.8,36,3,WNW,30,1012.2
,2021-12-21,10.8,26.9,0.2,7.8,13.1,S,35,16:22,16.2,70,6,WSW,11,1015.0,25.8,41,1,SSW,9,1011.7
,2021-12-22,14.1,20.5,0,7.6,6.2,SSE,37,12:49,15.8,66,7,SW,17,1015.4,19.1,59,7,S,22,1013.9
,2021-12-23,13.3,21.1,0,5.8,8.7,SSE,37,16:30,14.8,67,7,SE,13,1014.8,19.7,52,4,SSW,15,1014.4
,2021-12-24,9.3,28.1,0,6.4,13.1,SSW,31,19:26,16.3,70,1,SW,9,1015.2,26.5,42,1,SSE,17,1012.1
,2021-12-25,14.1,22.8,0,6.8,6.1,S,52,15:13,16.6,78,7,SSW,15,1016.9,21.6,53,2,S,26,1015.4
,2021-12-26,14.1,19.1,0,8.0,2.7,S,52,19:04,15.2,65,8,S,28,1020.0,17.2,54,7,S,33,1019.7
,2021-12-27,12.7,23.3,0,5.8,9.7,SSE,57,18:51,14.8,64,7,S,28,1022.4,20.5,50,5,S,35,1019.4
,2021-12-28,8.1,23.6,0,8.0,11.9,S,41,15:45,14.7,67,1,W,13,1022.0,22.1,39,2,SSW,19,1018.5
,2021-12-29,10.7,26.3,0,8.0,13.7,SSE,37,15:45,18.0,72,3,SSW,9,1019.5,23.8,47,1,S,15,1016.4
,2021-12-30,12.2,34.6,0,6.8,12.4,W,39,12:15,17.3,74,1,NE,7,1015.4,33.1,22,1,SW,20,1010.7
,2021-12-31,17.1,38.3,0,11.4,12.8,NNE,56,08:18,29.0,29,0,NNE,37,1010.1,36.9,15,1,NNW,15,1007.9
