"Daily Weather Observations for Brisbane Airport, Queensland for February 2021"
"Prepared at 13:01 UTC on Sunday 13 March 2022   IDCJDW4020.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,23.3,28.8,0.2,,11.8,ESE,35,12:05,27.3,55,5,SE,19,1013.5,27.4,53,3,SE,20,1010.7
,2021-02-2,21.1,25.3,34.6,,0.0,WSW,30,08:36,21.4,100,8,SW,22,1009.7,23.0,93,8,E,2,1007.5
,2021-02-3,20.8,28.0,38.8,,8.6,SE,39,14:46,24.7,70,7,SSE,17,1011.0,26.4,54,7,SE,22,1010.0
,2021-02-4,18.6,28.6,0,,12.3,SE,30,09:35,26.4,63,2,SSE,17,1012.5,28.0,63,1,ESE,19,1010.5
,2021-02-5,20.5,28.7,0,,9.2,ESE,31,12:42,26.4,65,5,ESE,13,1012.1,27.8,59,7,E,15,1009.4
,2021-02-6,20.4,29.0,0,,12.0,NE,30,13:36,26.9,66,3,ESE,11,1009.0,28.3,57,3,ENE,20,1004.9
,2021-02-7,22.4,31.6,0,,8.7,NNE,30,16:45,27.5,65,7,SW,2,1006.1,30.2,65,7,NE,19,1001.6
,2021-02-8,23.1,28.9,0,,7.8,SE,46,14:17,27.4,59,6,SE,20,1009.4,27.4,54,4,SE,24,1008.0
,2021-02-9,21.5,28.5,0,,11.0,ESE,48,12:26,25.3,53,3,SSE,17,1013.5,27.0,46,5,ESE,24,1010.8
,2021-02-10,17.5,27.9,0,,8.9,ESE,35,18:00,24.9,52,6,SSE,11,1013.8,26.3,51,4,ESE,20,1010.9
,2021-02-11,18.9,26.7,0,,8.3,ESE,31,14:24,23.8,63,3,S,9,1014.8,25.7,57,3,ENE,19,1012.2
,2021-02-12,22.5,28.0,0,,8.9,NE,33,13:46,25.1,61,7,NNW,15,1014.1,27.1,59,4,NE,24,1010.9
,2021-02-13,20.1,28.8,0,,9.7,NNE,44,16:24,25.4,61,6,NNW,15,1011.1,28.2,67,6,NNE,31,1006.8
,2021-02-14,21.5,28.8,3.0,,3.0,S,46,17:11,23.6,88,8,SW,13,1008.7,27.8,56,6,SSE,19,1007.1
,2021-02-15,19.3,27.6,0,,11.6,ESE,46,13:48,26.1,56,2,SSE,17,1012.8,26.3,59,1,SE,26,1011.2
,2021-02-16,18.9,28.8,0,,7.9,SE,41,11:39,25.8,59,6,SSE,17,1014.4,27.4,54,7,ESE,15,1012.2
,2021-02-17,18.6,27.4,5.6,,10.3,SSE,52,14:23,24.1,67,7,S,19,1016.3,26.2,63,5,S,24,1014.3
,2021-02-18,18.9,26.5,5.8,,2.9,SE,43,14:56,21.6,96,7,SSE,9,1016.5,23.8,83,5,SE,24,1014.5
,2021-02-19,20.6,28.3,38.4,,7.2,SSW,28,08:23,25.0,83,7,S,13,1014.9,26.8,74,7,E,13,1011.7
,2021-02-20,21.2,29.0,0,,2.8,SW,30,08:03,25.7,68,7,SW,20,1012.2,26.2,71,7,E,11,1008.2
,2021-02-21,21.6,33.1,0.2,,10.4,WSW,39,10:59,28.5,56,2,WSW,26,1005.5,31.9,46,3,ESE,17,1001.0
,2021-02-22,21.5,30.0,0,,11.9,NNE,35,12:30,28.2,66,1,N,15,1005.4,28.7,71,1,NNE,28,1003.3
,2021-02-23,23.1,30.5,2.8,,10.7,S,43,19:00,27.3,77,4,NNE,15,1010.0,27.7,75,3,NE,26,1007.0
,2021-02-24,20.2,28.8,11.6,,7.2,ENE,33,18:25,23.6,90,7,SE,11,1014.7,28.0,60,3,ENE,20,1012.1
,2021-02-25,22.1,27.8,35.8,,5.7,ESE,35,07:39,24.7,94,7,SSE,7,1013.7,26.6,76,6,ENE,17,1010.5
,2021-02-26,22.3,29.5,0.2,,11.9,NE,31,16:07,27.4,69,1,NNW,9,1011.4,28.4,68,1,NE,20,1008.6
,2021-02-27,22.8,29.3,0,,4.9,E,24,13:38,26.7,70,7,ESE,9,1012.5,28.2,73,7,E,13,1010.3
,2021-02-28,24.5,29.5,0,,6.2,N,30,15:40,27.0,77,7,NNW,11,1012.3,28.6,70,7,NNE,20,1009.6
