"Daily Weather Observations for Brisbane Airport, Queensland for August 2021"
"Prepared at 16:01 UTC on Monday  7 March 2022   IDCJDW4020.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,8.8,23.3,0,,9.9,NNE,39,15:09,16.9,79,1,NNE,11,1017.4,21.8,75,0,NNE,28,1012.5
,2021-08-2,12.5,23.5,0,,8.3,ESE,35,14:03,19.3,85,3,SE,11,1017.9,21.9,67,4,ESE,19,1016.2
,2021-08-3,15.5,23.3,0,,2.4,WSW,48,21:13,19.0,91,7,NNE,11,1017.6,20.4,82,7,NNE,15,1013.6
,2021-08-4,9.8,20.6,0,,10.5,WSW,57,13:34,16.6,39,1,W,24,1018.5,19.8,30,1,W,35,1015.2
,2021-08-5,7.2,20.8,0,,10.3,SW,37,09:12,14.6,45,0,WSW,24,1020.0,20.6,33,0,WSW,24,1016.7
,2021-08-6,7.2,21.4,0,,10.3,WSW,28,00:32,16.4,55,1,SW,15,1023.7,19.9,53,1,NE,17,1020.7
,2021-08-7,7.2,21.5,0,,7.3,SW,17,10:35,11.7,83,6,SSW,7,1026.3,20.4,44,1,ENE,13,1022.4
,2021-08-8,5.1,22.1,0,,9.7,SE,37,15:02,15.1,59,0,SW,20,1027.3,20.7,59,1,SE,22,1024.8
,2021-08-9,14.0,21.1,0.6,,2.1,SE,37,14:00,15.3,90,7,SSW,9,1029.6,19.1,51,4,SE,20,1026.7
,2021-08-10,11.1,21.3,0,,4.3,E,28,12:05,16.6,71,7,SSW,13,1029.9,21.1,58,6,ESE,19,1027.2
,2021-08-11,10.7,22.0,0.2,,7.1,E,26,01:39,15.5,86,7,W,11,1030.4,20.6,61,1,NE,17,1026.5
,2021-08-12,10.8,22.9,0.2,,10.2,NNE,31,12:58,18.7,78,1,SSW,11,1028.0,22.1,69,1,NNE,22,1024.5
,2021-08-13,14.0,23.9,0,,9.2,NE,26,11:25,20.0,74,1,SW,15,1026.4,23.0,51,2,NE,19,1022.7
,2021-08-14,14.9,23.9,0,,6.3,NNE,22,13:33,17.7,88,7,SSW,11,1027.5,22.1,59,1,NE,17,1024.2
,2021-08-15,13.1,23.7,0,,9.5,NNE,31,14:42,19.7,78,1,SW,13,1027.0,22.5,59,3,NNE,26,1022.7
,2021-08-16,12.4,27.2,0,,9.7,WNW,31,13:09,20.2,77,1,WSW,4,1023.2,24.4,55,6,NNE,19,1018.6
,2021-08-17,8.6,23.6,0,,10.5,SW,33,09:05,18.6,39,0,SW,22,1020.6,21.5,56,1,E,17,1017.3
,2021-08-18,12.6,19.0,0,,0.2,S,28,08:46,15.3,82,7,SSE,15,1024.0,17.5,73,8,S,9,1021.6
,2021-08-19,9.2,21.9,1.0,,9.6,ENE,26,12:28,17.4,69,1,SW,13,1025.0,20.8,54,3,ENE,17,1021.8
,2021-08-20,11.4,23.6,0,,10.6,NE,30,15:28,19.4,62,1,SW,15,1023.9,21.9,52,1,NE,20,1019.9
,2021-08-21,11.5,24.1,0,,10.7,NNE,28,16:14,18.8,73,0,SW,9,1023.0,22.5,59,1,NE,17,1018.9
,2021-08-22,11.8,24.1,0,,10.4,NE,28,12:39,20.0,66,0,SW,9,1023.7,22.8,59,1,NNE,22,1020.1
,2021-08-23,12.7,24.2,0,,,NNE,39,16:06,20.1,76,1,WSW,6,1021.4,22.1,67,1,NE,24,1016.6
,2021-08-24,14.4,21.4,0.8,,,W,69,09:01,14.4,88,7,WSW,54,1013.3,20.7,28,1,W,39,1010.7
,2021-08-25,9.1,21.0,2.4,,,WSW,41,08:30,15.2,45,0,WSW,30,1016.5,20.4,35,1,W,28,1013.5
,2021-08-26,7.5,22.1,0,,10.3,W,37,14:31,15.0,41,4,W,19,1018.8,21.5,17,1,W,26,1014.9
,2021-08-27,6.5,23.6,0,,11.2,W,39,13:31,17.3,38,0,WSW,24,1019.6,23.0,23,1,W,20,1015.5
,2021-08-28,7.0,22.7,0,,11.0,NNE,26,15:19,16.8,43,1,SW,15,1020.3,21.6,28,1,NE,19,1015.2
,2021-08-29,9.1,22.7,0,,8.8,WSW,74,21:53,16.9,45,7,SSW,7,1018.1,21.7,69,1,NE,26,1012.8
,2021-08-30,10.8,24.9,3.0,,10.0,ENE,31,15:01,20.6,50,0,SW,11,1019.4,22.4,46,7,E,17,1016.9
,2021-08-31,13.4,24.5,0,,5.3,ENE,26,14:22,18.9,72,7,W,9,1023.8,22.7,73,1,NE,15,1021.0
