"Daily Weather Observations for Brisbane Airport, Queensland for March 2021"
"Prepared at 13:01 UTC on Saturday 12 March 2022   IDCJDW4020.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,23.5,28.3,0,,0.2,N,20,21:56,26.4,79,8,SSW,6,1010.7,27.7,76,8,NE,13,1008.5
,2021-03-2,21.7,30.5,0,,10.8,NNE,41,21:57,27.5,67,3,WNW,9,1009.7,28.6,72,3,NNE,26,1006.3
,2021-03-3,21.8,26.1,5.4,,3.1,ESE,33,16:03,24.6,77,8,SE,13,1011.9,25.7,63,7,ESE,19,1010.0
,2021-03-4,19.9,25.3,2.0,,3.1,SSE,35,10:44,21.1,85,8,S,15,1013.1,24.1,61,5,SE,19,1010.5
,2021-03-5,17.0,28.3,0,,11.6,NE,30,15:18,24.2,61,1,SSW,13,1008.9,27.4,60,2,NE,20,1003.9
,2021-03-6,21.6,27.6,0,,8.7,ESE,37,14:15,25.6,62,7,SE,17,1009.9,25.9,60,7,ESE,17,1008.9
,2021-03-7,20.6,26.7,18.0,,8.2,NE,35,21:25,24.4,77,6,SW,7,1015.8,26.3,65,1,ENE,20,1012.9
,2021-03-8,21.5,28.3,1.4,,8.8,NNE,46,15:19,26.4,65,4,N,15,1017.4,27.0,67,5,NNE,33,1012.9
,2021-03-9,20.8,28.6,9.0,,7.9,NNE,37,15:40,24.4,81,7,N,17,1016.0,27.9,69,2,NE,26,1012.4
,2021-03-10,20.7,29.0,0,,9.6,ESE,37,16:14,26.8,69,3,SE,15,1018.2,28.5,59,3,ESE,17,1015.9
,2021-03-11,21.7,27.0,0.6,,1.5,N,33,11:28,26.0,74,7,SSW,2,1020.2,22.6,93,8,SE,13,1018.5
,2021-03-12,20.0,27.3,2.8,,7.9,NE,31,11:42,25.3,73,3,SSW,11,1019.6,25.1,74,7,ENE,17,1017.1
,2021-03-13,21.2,28.6,0,,8.3,NE,28,14:23,24.8,76,7,N,9,1017.7,27.2,67,2,NE,19,1014.7
,2021-03-14,20.5,29.1,0,,10.8,NNE,39,15:27,26.6,71,2,NNW,15,1014.6,27.6,69,2,NE,30,1010.9
,2021-03-15,22.8,23.5,2.6,,0.0,S,37,22:56,23.1,84,7,SSE,15,1015.6,21.4,91,8,SSW,17,1015.4
,2021-03-16,19.2,24.6,6.8,,0.0,SSE,46,12:28,22.3,70,8,SSE,15,1020.0,22.0,76,8,S,15,1018.6
,2021-03-17,18.7,22.2,8.0,,0.0,ENE,28,17:45,19.8,96,8,WSW,7,1019.2,21.0,92,8,ESE,11,1016.6
,2021-03-18,19.1,27.1,17.4,,2.6,ESE,28,12:45,21.7,92,7,SSW,13,1016.7,25.7,76,7,ESE,17,1014.3
,2021-03-19,20.1,28.1,1.2,,6.1,ENE,26,15:47,24.1,75,6,SSE,9,1017.0,26.6,71,5,ENE,17,1014.4
,2021-03-20,21.9,26.2,0.4,,1.2,SE,31,18:37,22.6,92,8,ESE,15,1017.5,26.0,75,7,N,9,1014.8
,2021-03-21,22.4,27.9,9.2,,2.4,NE,41,18:26,24.9,93,7,ESE,9,1017.7,24.8,84,7,ENE,24,1015.4
,2021-03-22,21.1,23.4,111.2,,0.0,ENE,35,18:16,22.4,82,8,ENE,9,1018.2,21.6,98,8,NW,20,1014.6
,2021-03-23,21.5,28.0,56.2,,0.0,NNE,46,16:32,23.4,96,7,NNE,22,1011.0,24.6,93,8,NNE,33,1005.4
,2021-03-24,22.2,31.1,20.8,,8.3,W,48,16:09,26.9,74,6,NW,13,1004.4,30.6,50,2,WNW,28,1001.7
,2021-03-25,17.5,30.9,0,,11.4,W,44,14:26,25.7,52,1,SW,13,1007.8,30.4,32,1,WSW,30,1004.9
,2021-03-26,17.1,28.2,0,,11.0,ESE,30,12:33,25.8,49,0,SSW,17,1013.4,26.9,53,2,ESE,17,1010.7
,2021-03-27,19.9,28.1,0,,10.1,NNE,31,15:57,25.3,71,1,WSW,11,1015.3,27.2,60,1,NNE,24,1011.9
,2021-03-28,17.2,30.7,0,,9.2,WSW,30,13:38,25.5,56,1,SW,9,1016.8,28.0,45,7,NE,11,1013.3
,2021-03-29,18.3,28.2,0,,10.0,ESE,33,16:18,25.2,63,2,SW,15,1017.7,26.9,60,1,ESE,19,1014.8
,2021-03-30,19.8,24.7,0,,3.5,SSE,39,08:25,22.4,69,6,S,20,1019.4,22.3,81,7,ESE,20,1018.1
,2021-03-31,16.6,25.9,5.4,,9.4,ESE,44,16:45,22.1,61,2,S,19,1020.1,23.7,64,4,ESE,24,1018.0
