"Daily Weather Observations for Brisbane Airport, Queensland for April 2021"
"Prepared at 13:01 UTC on Friday 11 March 2022   IDCJDW4020.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,17.0,25.4,0,,5.7,S,37,17:09,22.6,64,6,SSW,19,1020.7,24.0,68,7,ESE,19,1018.7
,2021-04-2,18.4,25.9,5.6,,8.8,ESE,46,11:18,24.2,58,2,SE,20,1022.3,24.2,56,7,SE,22,1020.7
,2021-04-3,19.8,25.0,0.4,,1.2,SE,50,13:53,22.7,73,7,S,15,1021.4,24.0,69,7,SE,20,1018.7
,2021-04-4,19.5,22.8,3.8,,0.0,E,33,13:24,22.1,88,8,SSE,9,1019.5,21.4,91,8,ESE,13,1016.1
,2021-04-5,20.0,23.0,7.4,,0.0,SSE,35,13:32,20.9,96,8,SSE,13,1016.2,22.4,93,8,SSE,17,1013.0
,2021-04-6,20.8,25.0,55.0,,0.9,ESE,52,05:31,22.1,95,8,S,13,1015.4,23.0,87,7,SSE,20,1012.6
,2021-04-7,19.5,26.8,21.6,,6.5,S,35,01:12,21.9,92,7,S,15,1012.6,25.6,68,6,SE,17,1008.8
,2021-04-8,18.5,27.2,1.0,,10.2,SW,35,09:19,24.6,70,7,SSW,22,1008.5,26.1,66,1,S,11,1005.8
,2021-04-9,16.6,27.3,0.2,,10.6,N,31,17:48,23.7,65,0,WSW,6,1009.3,26.5,68,2,NNE,15,1004.9
,2021-04-10,17.2,32.3,0,,10.9,W,28,11:31,23.9,66,1,WSW,6,1008.7,32.0,34,1,NW,6,1004.9
,2021-04-11,18.2,28.9,0,,7.4,W,35,15:16,22.4,63,7,WSW,15,1010.5,28.8,34,1,W,19,1008.2
,2021-04-12,11.4,23.2,0,,10.0,ESE,31,12:15,19.1,41,1,SSW,20,1017.8,22.0,55,1,ESE,17,1016.3
,2021-04-13,13.6,23.8,0,,10.7,ESE,30,14:04,21.6,52,1,SSE,11,1021.7,22.4,52,2,SE,17,1019.0
,2021-04-14,13.1,24.8,0,,10.8,N,30,12:30,20.2,65,1,SW,15,1020.5,23.9,53,1,NE,17,1016.8
,2021-04-15,13.9,25.7,0,,10.9,NNE,30,15:00,21.0,71,0,SW,13,1017.6,24.7,59,1,NE,20,1014.1
,2021-04-16,15.9,28.1,0,,10.0,ESE,33,15:48,23.1,69,1,NW,9,1017.6,26.0,57,3,ESE,13,1015.5
,2021-04-17,18.8,23.7,0,,0.7,SW,56,19:37,20.8,71,8,SW,15,1019.5,22.5,79,7,SE,9,1016.3
,2021-04-18,14.3,24.8,19.8,,8.5,SSE,30,21:26,19.2,68,2,SW,17,1018.5,21.7,67,2,ENE,13,1015.5
,2021-04-19,12.9,24.2,0,,10.9,SW,24,08:29,20.3,67,1,SSW,17,1018.9,23.4,51,1,E,13,1015.9
,2021-04-20,13.9,25.3,0,,10.7,NNE,35,15:20,21.0,74,0,WSW,9,1019.1,24.1,63,1,NNE,26,1014.6
,2021-04-21,15.3,29.7,0,,10.9,W,52,14:15,22.3,65,0,SW,6,1015.2,29.6,31,1,WSW,28,1010.2
,2021-04-22,11.3,23.2,0,,1.0,W,31,14:04,17.7,63,7,W,13,1016.6,20.8,44,7,NW,13,1012.6
,2021-04-23,9.7,22.9,0,,10.9,SW,30,08:40,18.9,40,1,SW,19,1018.7,22.1,46,1,E,11,1016.2
,2021-04-24,11.3,23.6,0,,10.7,SW,24,08:21,18.9,62,1,SW,15,1022.2,22.6,59,1,ENE,15,1019.5
,2021-04-25,12.8,24.7,0,,10.5,SW,26,09:04,19.7,73,1,SW,17,1022.4,23.4,50,1,NE,17,1019.3
,2021-04-26,14.0,24.2,0,,9.7,E,30,11:41,20.4,72,1,SW,19,1023.5,22.8,60,2,ESE,15,1021.0
,2021-04-27,14.9,24.2,0,,7.8,SE,35,19:18,20.5,69,3,SSW,13,1025.4,23.0,57,1,ESE,19,1021.8
,2021-04-28,15.2,24.1,0,,5.5,ESE,41,15:00,21.4,64,1,S,13,1024.0,21.6,71,7,ESE,22,1021.2
,2021-04-29,15.1,24.2,0.2,,8.5,SE,39,13:58,20.8,71,6,SSW,15,1023.2,21.6,69,6,SE,19,1020.7
,2021-04-30,16.6,22.7,0,,1.7,ENE,33,13:11,20.2,79,7,SSE,17,1024.9,20.6,79,8,SSE,13,1023.4
