"Daily Weather Observations for Brisbane Airport, Queensland for May 2021"
"Prepared at 13:01 UTC on Thursday 10 March 2022   IDCJDW4020.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,17.2,21.7,16.0,,0.0,ESE,37,12:57,19.0,87,7,SSW,7,1026.7,20.2,84,7,E,15,1024.8
,2021-05-2,17.0,22.7,34.4,,3.1,SE,37,10:36,21.6,81,5,S,9,1025.3,22.5,66,7,SE,13,1022.1
,2021-05-3,15.6,24.5,11.6,,9.6,SE,30,15:45,21.0,74,2,SSW,13,1021.4,23.2,70,3,ESE,17,1017.7
,2021-05-4,14.5,24.6,0.2,,9.2,SW,30,23:14,18.9,90,1,SW,17,1017.5,24.1,60,7,NE,11,1013.3
,2021-05-5,15.0,18.5,5.2,,2.3,SW,37,08:37,16.9,85,7,SW,30,1013.2,16.9,91,6,WSW,13,1010.2
,2021-05-6,10.3,23.4,17.6,,10.0,W,39,17:21,18.5,68,1,W,17,1009.7,23.1,56,3,WSW,26,1006.8
,2021-05-7,12.8,25.7,0,,8.4,WSW,35,10:49,20.9,65,5,W,13,1011.5,25.2,51,7,NNW,17,1009.2
,2021-05-8,14.9,25.9,0,,8.2,NNE,19,12:06,21.4,69,1,NW,9,1015.2,23.4,67,7,ENE,11,1013.6
,2021-05-9,15.7,25.3,0,,7.2,N,22,19:32,20.3,86,7,SW,13,1018.9,24.2,66,3,NE,11,1015.0
,2021-05-10,15.1,26.3,0,,8.5,NNE,20,18:13,20.2,86,7,SW,13,1017.9,25.1,64,2,NE,13,1014.1
,2021-05-11,15.1,27.1,0,,9.6,WSW,30,01:43,21.4,73,3,WNW,7,1018.6,25.0,65,1,NE,17,1015.4
,2021-05-12,17.9,24.2,16.0,,5.4,WSW,48,16:55,21.1,88,4,SSW,9,1018.1,23.1,83,7,ESE,15,1014.6
,2021-05-13,16.6,24.4,21.8,,10.1,W,50,12:36,20.9,73,1,WSW,19,1013.8,23.7,39,1,W,28,1010.7
,2021-05-14,10.9,24.1,0,,10.2,WSW,30,08:56,18.9,55,0,WSW,22,1014.5,23.8,39,0,W,19,1011.8
,2021-05-15,9.7,23.5,0,,10.1,W,35,17:54,17.7,63,1,WSW,13,1015.8,21.9,53,1,NNE,11,1012.6
,2021-05-16,9.4,20.6,0,,10.1,SW,28,02:52,15.9,47,0,SSW,19,1019.6,19.6,41,1,ESE,15,1018.2
,2021-05-17,7.5,22.4,0,,10.2,WNW,33,11:18,15.9,68,0,W,13,1022.2,21.9,27,3,WSW,15,1019.3
,2021-05-18,10.9,22.2,0,,9.9,SE,31,12:23,16.9,61,1,SSW,19,1026.5,21.5,60,3,ESE,17,1024.6
,2021-05-19,13.4,22.6,0,,3.2,SSE,33,14:10,19.4,67,7,SSW,15,1027.5,19.7,78,7,S,9,1025.4
,2021-05-20,12.3,23.3,0.2,,9.9,ESE,30,14:06,18.4,72,1,SW,17,1027.0,21.7,62,1,ESE,17,1024.0
,2021-05-21,11.8,23.0,0,,9.8,SE,33,12:37,17.9,71,1,SW,19,1025.8,21.6,52,1,SE,19,1022.9
,2021-05-22,12.6,23.4,0,,9.7,SE,33,15:18,18.6,70,1,SSW,17,1023.1,22.0,57,1,SE,17,1020.3
,2021-05-23,12.8,23.4,0,,9.3,S,31,10:43,18.6,73,1,SSW,17,1023.7,23.0,51,1,SE,15,1021.7
,2021-05-24,12.7,23.7,0,,8.2,SE,33,15:32,19.1,72,1,SSW,17,1026.9,22.5,50,2,SE,13,1024.1
,2021-05-25,12.7,23.1,0,,8.9,SW,26,08:21,18.6,74,1,SW,19,1025.7,21.8,63,3,ESE,15,1022.2
,2021-05-26,11.0,23.5,0,,9.8,SSW,20,05:29,17.7,83,0,SW,13,1022.3,22.0,67,1,NNE,15,1017.7
,2021-05-27,12.9,23.5,0,,7.7,SW,30,09:26,20.0,65,4,S,11,1021.0,21.4,64,2,ESE,17,1018.4
,2021-05-28,9.3,21.0,0,0.0,9.9,SE,33,20:47,16.1,56,0,SW,15,1021.7,20.6,43,1,SW,15,1018.4
,2021-05-29,8.5,20.9,0,,6.7,SW,37,10:13,15.0,52,7,SW,24,1024.4,19.5,45,7,SSW,13,1021.8
,2021-05-30,10.0,21.2,0,,7.4,SSW,33,08:32,16.2,56,6,SW,28,1023.7,20.1,52,7,SSE,7,1021.7
,2021-05-31,11.2,21.2,0,,7.9,SSW,33,09:08,17.2,61,5,SSW,19,1024.1,19.8,63,5,ESE,9,1021.3
