"Daily Weather Observations for Brisbane Airport, Queensland for July 2021"
"Prepared at 13:01 UTC on Tuesday  8 March 2022   IDCJDW4020.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,11.3,19.3,0.4,,2.8,NNE,43,13:57,15.4,92,5,SW,17,1024.8,19.0,76,7,ENE,15,1021.4
,2021-07-2,14.7,22.2,4.4,,2.7,NNW,37,12:51,18.3,94,7,SW,7,1020.8,20.0,84,7,NNE,4,1017.9
,2021-07-3,15.9,18.2,13.0,,0.0,E,35,12:06,16.6,97,8,ESE,13,1018.1,17.5,95,8,SW,15,1015.9
,2021-07-4,13.4,22.0,6.0,,8.2,SW,28,02:30,17.3,84,1,SW,15,1019.6,19.6,72,5,ESE,15,1017.4
,2021-07-5,8.2,19.4,0,,7.6,WSW,35,14:36,13.4,68,7,SSW,15,1020.9,18.1,40,6,WSW,24,1017.0
,2021-07-6,9.2,19.6,0,,6.6,SSW,30,09:47,12.6,60,7,SW,20,1020.5,19.0,55,5,ESE,11,1018.5
,2021-07-7,8.1,19.9,0,,9.8,SW,30,08:55,13.6,75,1,SW,24,1023.8,19.3,52,1,E,15,1021.6
,2021-07-8,9.5,19.8,0,,3.6,NNE,24,23:11,15.4,64,7,SW,15,1024.1,18.4,70,7,SE,7,1020.1
,2021-07-9,12.8,21.6,12.6,,3.0,W,33,20:42,16.5,95,8,NNE,9,1015.8,20.3,80,3,N,20,1010.5
,2021-07-10,10.4,20.3,1.2,,9.8,W,63,13:03,15.0,60,1,W,35,1015.9,19.4,37,1,W,44,1013.7
,2021-07-11,8.2,21.9,0,,9.3,SW,35,10:10,15.9,62,1,SSW,24,1021.9,21.2,45,1,SE,13,1019.8
,2021-07-12,10.4,20.0,0,,7.5,ESE,30,13:27,14.5,73,5,SW,17,1023.5,17.7,67,7,SE,13,1020.5
,2021-07-13,10.1,21.2,0,,7.8,SSW,22,04:38,15.5,78,1,SW,11,1022.5,17.6,78,3,ENE,11,1018.9
,2021-07-14,11.3,21.1,0,,4.9,NNE,33,15:45,14.4,87,7,SSW,7,1021.0,19.7,69,6,NNE,22,1016.3
,2021-07-15,13.4,24.4,0,,4.8,NNE,35,17:54,16.6,87,7,ESE,6,1015.1,21.6,76,4,NE,15,1009.9
,2021-07-16,16.5,27.3,0,,4.7,WSW,61,15:23,24.1,66,6,NW,28,1006.4,20.2,66,7,W,50,1004.7
,2021-07-17,13.4,21.5,0,,9.9,W,69,10:11,17.6,35,1,W,31,1009.8,21.2,32,1,W,24,1006.2
,2021-07-18,8.8,20.1,0,,9.6,WSW,39,11:50,15.3,40,1,W,20,1016.1,19.8,33,2,W,24,1014.0
,2021-07-19,5.5,20.7,0,,9.3,NNE,30,18:54,13.2,68,4,WSW,7,1019.7,20.0,48,1,NE,17,1015.4
,2021-07-20,6.3,19.6,0,,10.2,W,54,14:12,15.7,51,1,WSW,9,1015.8,19.1,32,1,W,35,1010.1
,2021-07-21,9.1,17.1,0,,9.5,W,57,10:30,13.6,54,1,WSW,35,1013.6,16.6,38,3,WSW,33,1011.6
,2021-07-22,4.3,19.4,0,,9.8,SW,33,09:57,13.2,54,1,SW,22,1019.3,18.2,49,1,NNE,15,1016.1
,2021-07-23,8.5,19.2,0,,1.7,NE,33,17:31,14.3,74,7,SSW,9,1016.7,16.6,85,8,ENE,11,1010.1
,2021-07-24,11.0,22.7,8.4,,9.8,WNW,50,11:14,18.4,78,1,NNW,19,1010.2,21.6,40,1,W,28,1008.2
,2021-07-25,8.9,21.2,0,,10.1,W,78,13:34,17.7,37,1,W,35,1013.4,20.3,29,1,W,44,1012.1
,2021-07-26,5.5,21.1,0,,8.9,WSW,33,10:18,15.1,43,7,SW,20,1021.9,20.8,28,7,SW,9,1018.9
,2021-07-27,5.2,21.1,0,,9.6,NE,30,16:10,14.5,66,1,WSW,6,1022.8,20.0,63,1,NE,17,1019.2
,2021-07-28,9.1,22.6,0,,9.4,NNE,37,15:15,15.7,80,1,SSW,9,1019.6,21.6,65,1,NNE,26,1013.5
,2021-07-29,14.5,26.0,0,,8.4,WSW,52,15:52,18.5,76,4,NW,13,1013.0,24.6,32,1,WSW,30,1011.2
,2021-07-30,8.9,20.8,0,,10.2,SSE,26,10:59,15.6,51,1,SW,15,1022.0,19.6,54,2,E,15,1019.8
,2021-07-31,7.7,21.3,0,,9.9,NNE,33,14:41,14.8,75,1,SW,11,1022.0,20.1,63,1,NE,22,1017.0
