"Daily Weather Observations for Brisbane Airport, Queensland for October 2021"
"Prepared at 13:01 UTC on Saturday  5 March 2022   IDCJDW4020.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,15.4,25.0,2.6,,4.1,SW,63,18:56,18.9,84,7,NNW,17,1011.7,22.9,68,2,NE,30,1005.3
,2021-10-2,11.6,29.0,6.4,,11.2,WSW,48,16:47,20.2,67,0,N,11,1008.4,28.6,27,3,WSW,22,1003.0
,2021-10-3,13.6,28.5,0,,11.6,NE,37,15:05,25.1,40,3,N,13,1008.5,26.2,39,1,NE,26,1003.7
,2021-10-4,12.5,29.3,0,,10.8,NNE,48,13:47,22.5,79,1,N,13,1005.5,26.9,66,1,NNE,30,1000.6
,2021-10-5,15.1,28.4,0,,,SW,37,17:32,25.3,20,0,S,11,1012.0,25.6,32,0,NNE,24,1008.2
,2021-10-6,11.2,25.5,0,,,W,31,01:10,22.3,28,0,S,13,1016.7,24.0,49,0,ENE,24,1013.7
,2021-10-7,13.0,25.1,0,,8.6,NNE,35,16:41,22.4,56,1,NNE,13,1017.0,22.6,63,7,NNE,19,1013.3
,2021-10-8,16.2,27.4,0.2,,11.3,ESE,41,12:31,25.1,57,1,SW,6,1017.3,24.2,66,1,SE,20,1015.8
,2021-10-9,16.6,27.0,0,,,NNE,37,16:24,23.3,66,3,NNE,13,1020.0,24.4,65,1,NNE,26,1016.2
,2021-10-10,19.4,26.8,0,,,NNE,48,14:08,24.4,57,1,N,19,1017.7,24.9,62,1,NNE,37,1011.7
,2021-10-11,18.7,26.2,0,,7.1,N,46,00:26,23.1,64,7,NNE,15,1012.5,23.5,72,7,NNE,30,1008.1
,2021-10-12,15.9,22.6,32.0,,0.7,SW,37,17:08,18.0,87,8,SSW,11,1011.1,21.5,76,7,SSW,15,1008.3
,2021-10-13,16.5,24.7,2.8,,7.8,ENE,35,19:47,22.0,75,7,SE,15,1013.1,23.6,69,3,ENE,20,1011.2
,2021-10-14,17.5,26.2,57.6,,,ENE,35,11:43,17.9,92,8,ENE,20,1013.6,22.8,64,7,NE,19,1010.2
,2021-10-15,17.9,28.2,3.8,,,N,50,04:50,25.0,76,5,N,19,1008.3,24.3,79,1,NNE,31,1004.5
,2021-10-16,12.8,28.0,3.4,,12.8,W,59,09:26,23.5,33,1,WSW,33,1010.3,27.7,21,1,W,30,1006.9
,2021-10-17,10.7,25.7,0,,12.1,ENE,33,15:01,22.7,38,0,WSW,7,1016.3,24.4,43,1,E,22,1012.1
,2021-10-18,17.2,25.6,0,,,ENE,37,11:32,24.0,74,7,ENE,13,1017.9,22.6,81,8,NNE,20,1014.2
,2021-10-19,14.5,25.7,14.6,,,SW,28,05:36,20.6,75,2,SW,15,1017.2,25.1,56,2,ENE,20,1012.5
,2021-10-20,15.8,25.7,0,,11.5,NNE,37,16:35,23.7,66,1,SE,13,1015.4,23.7,70,7,NE,24,1012.1
,2021-10-21,16.6,26.1,0.2,,8.5,ENE,41,15:29,22.9,74,7,NE,11,1014.9,22.3,71,7,ENE,20,1012.2
,2021-10-22,19.2,25.1,3.0,,6.4,SSW,63,10:56,22.7,87,7,NE,17,1016.0,24.4,79,2,NNE,30,1013.8
,2021-10-23,15.0,31.0,81.0,,7.3,NNE,46,22:10,24.4,80,7,NNE,17,1017.4,25.5,78,1,NNE,30,1012.6
,2021-10-24,20.1,33.2,0,,11.2,WSW,52,12:29,30.8,33,3,WSW,28,1013.2,32.5,26,7,W,33,1011.1
,2021-10-25,21.3,26.0,0,,7.0,N,39,17:48,24.8,70,5,E,13,1016.7,23.2,78,7,NE,22,1013.0
,2021-10-26,19.6,26.1,3.2,,6.3,SE,35,13:26,23.6,71,7,NE,9,1018.3,24.3,65,5,ESE,20,1015.3
,2021-10-27,19.0,27.0,4.6,,10.5,NNE,37,15:17,24.9,76,5,WNW,7,1019.0,25.5,71,1,NNE,28,1015.1
,2021-10-28,22.9,27.6,0,,10.5,NNE,56,15:16,26.0,74,3,NNE,22,1015.7,26.0,74,1,NNE,41,1010.0
,2021-10-29,22.6,29.5,1.0,,,N,46,05:01,25.6,68,7,NNW,17,1012.9,25.4,56,8,SW,35,1012.8
,2021-10-30,19.1,31.1,0.4,,,WSW,100,17:49,28.3,60,6,WNW,13,1014.4,28.6,61,7,NNE,20,1011.0
,2021-10-31,18.5,22.8,18.4,,8.4,SE,52,09:17,22.5,67,7,SSE,28,1020.6,21.6,59,7,SE,22,1021.6
