"Daily Weather Observations for Brisbane Airport, Queensland for December 2021"
"Prepared at 13:01 UTC on Thursday 17 March 2022   IDCJDW4020.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,21.2,25.6,27.4,,1.0,NE,24,03:52,22.0,96,8,SSW,9,1013.0,23.7,91,8,S,9,1011.0
,2021-12-2,21.4,27.8,37.4,,8.6,ESE,33,13:30,25.1,82,5,ESE,9,1013.2,27.4,72,6,ESE,20,1010.9
,2021-12-3,20.7,28.3,0,,12.5,ESE,37,14:32,27.1,69,4,SE,11,1014.7,27.4,68,2,ESE,17,1012.5
,2021-12-4,20.2,28.5,0,,10.7,SSW,57,19:45,26.4,69,2,ESE,11,1013.4,27.7,64,1,NE,20,1009.1
,2021-12-5,18.3,26.9,7.2,,12.1,SE,43,18:26,24.1,70,7,S,13,1014.5,26.0,62,3,SE,22,1013.1
,2021-12-6,18.1,26.9,0,,8.8,SE,35,11:18,25.2,71,4,SSW,15,1016.1,26.3,67,6,ESE,17,1013.2
,2021-12-7,19.4,27.4,0,,6.5,NNE,26,11:29,25.6,76,7,SSE,11,1013.8,27.0,68,5,ENE,20,1011.8
,2021-12-8,21.5,28.4,1.6,,3.6,SSW,41,15:24,25.9,74,8,N,9,1013.2,25.9,75,8,E,13,1010.5
,2021-12-9,19.3,29.0,12.2,,11.2,WNW,59,19:56,26.9,59,1,W,6,1010.3,28.0,74,3,NNE,28,1006.0
,2021-12-10,19.1,30.6,49.0,,11.5,NNE,41,15:39,26.6,67,3,NNE,13,1008.6,30.3,59,3,NNE,19,1005.5
,2021-12-11,15.9,28.2,0,,13.2,ESE,35,15:16,26.8,37,0,S,11,1011.4,27.3,63,3,ESE,20,1009.7
,2021-12-12,20.2,27.0,0,,12.5,SE,39,13:49,25.5,65,4,ESE,17,1014.3,25.7,66,1,SE,22,1011.8
,2021-12-13,19.2,27.2,0,,11.6,SE,37,15:04,25.3,62,3,SE,15,1013.1,25.6,66,1,SE,22,1010.1
,2021-12-14,18.1,28.3,0,,12.9,ESE,39,16:02,26.1,42,1,S,11,1012.5,26.9,51,1,ESE,20,1009.4
,2021-12-15,18.2,28.0,0,,,E,30,13:19,25.5,53,1,SSW,13,1012.8,27.5,52,1,E,13,1010.3
,2021-12-16,19.3,29.4,0,,,NNE,28,17:45,25.8,64,2,N,9,1012.3,28.4,52,6,NNE,19,1010.5
,2021-12-17,20.6,29.0,0,,8.9,NE,30,11:05,27.0,64,4,E,15,1015.8,28.2,47,6,ENE,19,1013.7
,2021-12-18,21.2,28.0,0,,12.9,NE,30,13:43,26.9,59,3,ENE,13,1018.3,27.0,65,1,NE,19,1015.4
,2021-12-19,19.4,28.3,0,,,NE,33,15:19,26.7,65,3,NNE,13,1017.6,27.7,57,1,NNE,26,1013.6
,2021-12-20,20.7,29.8,0,,,NNE,35,17:23,27.9,59,7,NW,9,1015.2,28.5,66,7,NNE,26,1012.3
,2021-12-21,22.0,30.1,0,,,NNE,31,15:15,28.0,58,7,N,15,1014.9,27.9,70,7,NNE,24,1011.4
,2021-12-22,21.1,29.7,0,,12.1,NNE,37,15:50,27.6,58,2,NNE,17,1012.0,29.1,57,6,NE,28,1008.2
,2021-12-23,20.3,29.7,0,,9.3,NNE,33,12:33,27.6,68,7,SSE,9,1011.1,26.4,75,7,ENE,13,1009.7
,2021-12-24,23.2,30.6,0.6,,,SE,43,13:52,27.3,75,5,SSW,13,1011.8,25.9,74,7,SE,19,1009.3
,2021-12-25,22.6,29.3,0,,,ESE,35,12:29,26.7,69,7,SE,17,1012.3,24.6,83,8,E,15,1010.3
,2021-12-26,20.7,27.8,6.2,,3.0,ESE,31,11:38,25.3,77,7,S,11,1012.2,26.1,71,7,SE,17,1009.5
,2021-12-27,21.6,29.1,0,,4.3,S,43,16:14,26.9,65,7,SE,19,1010.0,25.5,70,8,SE,19,1007.6
,2021-12-28,19.0,25.0,22.6,,1.7,SSE,54,14:22,22.4,72,8,S,22,1012.6,24.3,53,8,SSE,20,1011.7
,2021-12-29,18.8,26.4,0,,2.7,ESE,43,14:33,19.8,87,8,SE,13,1014.4,24.2,64,7,SE,20,1011.8
,2021-12-30,17.0,27.0,0,,7.7,SE,43,13:24,24.1,62,7,S,20,1014.3,25.2,59,5,SE,19,1012.8
,2021-12-31,19.2,24.7,0,,2.2,ESE,41,15:39,23.0,80,8,SE,22,1013.8,23.4,83,8,SSE,15,1011.5
