"Daily Weather Observations for Brisbane Airport, Queensland for February 2022"
"Prepared at 13:01 UTC on Monday 14 March 2022   IDCJDW4020.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,24.1,32.5,0,,10.9,NNE,43,15:54,29.3,69,5,N,15,1005.4,29.1,78,7,NNE,31,1001.3
,2022-02-2,25.2,32.6,0,,3.6,NNE,41,14:14,29.5,74,7,N,15,1003.6,27.7,87,8,NNE,30,1001.1
,2022-02-3,24.4,29.4,18.8,,2.3,SW,39,16:42,28.2,68,8,NW,13,1000.2,24.8,91,8,SE,19,998.3
,2022-02-4,19.2,28.0,33.8,,10.7,S,50,13:36,25.0,62,2,SSW,19,1005.7,25.9,57,5,S,22,1006.5
,2022-02-5,17.1,27.0,0,,9.3,SSE,48,16:29,24.3,55,2,S,19,1011.0,25.1,52,7,SSE,28,1009.7
,2022-02-6,18.1,27.2,1.0,,7.5,SSE,52,14:27,24.6,60,7,SSE,24,1014.3,25.4,50,5,SE,26,1014.1
,2022-02-7,18.0,27.9,1.6,,8.9,SE,43,16:37,23.5,61,6,S,17,1016.3,27.0,51,1,SE,22,1013.2
,2022-02-8,17.2,26.8,0,,12.5,ESE,37,14:48,24.2,56,1,S,15,1014.6,25.9,54,2,ESE,20,1011.5
,2022-02-9,17.7,28.4,0,,12.3,NE,31,14:08,25.5,61,1,SW,7,1013.7,27.6,53,1,E,17,1010.5
,2022-02-10,18.4,29.4,0,,12.6,ESE,35,14:45,25.5,60,1,S,11,1013.1,27.7,46,1,E,22,1010.1
,2022-02-11,17.6,31.3,0,,12.2,SE,44,16:19,26.0,57,3,S,20,1011.0,28.4,63,2,ESE,26,1008.5
,2022-02-12,18.8,29.2,0,,7.0,SSE,56,13:25,25.4,58,2,S,19,1011.5,25.4,59,6,S,19,1012.0
,2022-02-13,17.5,28.5,1.8,,10.4,ESE,46,14:26,25.2,59,1,SSE,13,1018.1,26.8,58,2,SE,24,1017.1
,2022-02-14,18.5,26.5,0,,,SE,35,12:32,25.1,69,6,SE,17,1021.8,22.9,87,7,S,15,1021.3
,2022-02-15,19.4,26.8,12.2,,,ESE,39,12:34,22.2,83,8,SSW,11,1021.8,25.4,66,7,SE,19,1019.6
,2022-02-16,20.2,27.4,0.8,,9.8,SSE,33,10:05,25.5,64,2,SSE,15,1018.2,26.7,57,1,ESE,20,1015.1
,2022-02-17,18.3,28.7,0,,,ENE,30,14:48,26.2,65,4,S,11,1014.1,27.5,57,1,ENE,17,1010.9
,2022-02-18,19.7,29.7,0,,,NNE,41,15:46,26.3,66,1,NNW,6,1011.8,27.5,71,2,NNE,26,1008.9
,2022-02-19,19.6,29.7,1.4,,,ESE,37,13:32,26.5,76,2,SSW,11,1014.6,27.2,73,7,ESE,17,1013.0
,2022-02-20,20.6,27.3,9.8,,5.2,SE,28,10:22,26.3,72,7,SE,11,1013.2,26.0,74,7,E,11,1010.7
,2022-02-21,20.1,28.5,0.2,,10.4,NE,33,14:00,26.4,72,5,ESE,6,1010.9,27.2,75,6,NE,22,1009.0
,2022-02-22,22.0,28.8,0,,5.5,ESE,35,22:47,27.1,73,4,ESE,13,1013.3,24.7,87,8,E,19,1011.7
,2022-02-23,20.7,28.0,37.0,,4.7,ESE,46,02:39,22.9,91,7,SE,15,1013.7,27.3,68,6,SE,19,1011.9
,2022-02-24,22.5,27.3,10.2,,2.8,ENE,48,19:42,25.2,87,7,E,24,1012.0,25.6,81,8,E,20,1009.9
,2022-02-25,23.0,24.2,25.2,,0.0,ESE,44,18:19,23.7,93,8,ESE,20,1009.0,23.6,92,8,ESE,19,1006.2
,2022-02-26,21.5,23.7,231.8,,0.0,E,44,15:17,23.3,94,8,ESE,19,1008.0,22.6,95,8,ESE,19,1006.0
,2022-02-27,20.7,24.7,229.0,,0.0,ENE,57,12:57,20.7,96,8,S,24,1005.7,23.0,96,8,SE,13,1004.2
,2022-02-28,19.8,27.2,161.8,,2.9,SSW,33,00:25,24.6,80,7,W,19,1005.4,26.4,80,7,N,11,1002.9
