"Daily Weather Observations for Melbourne Airport, Victoria for April 2021"
"Prepared at 13:01 UTC on Tuesday 12 April 2022   IDCJDW3049.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,11.4,29.5,0,4.4,10.8,SSE,31,15:50,17.3,59,1,N,15,1024.2,28.2,27,3,WNW,9,1022.0
,2021-04-2,12.6,30.3,0,6.6,10.8,N,31,07:18,17.2,59,2,NNE,24,1026.1,29.6,23,0,SSE,11,1023.5
,2021-04-3,14.0,31.6,0,4.4,10.9,NE,44,10:49,21.4,52,0,NNW,11,1023.0,30.6,28,0,NW,20,1019.0
,2021-04-4,14.9,26.5,0,8.6,10.1,SSE,37,14:39,21.9,56,0,SW,2,1018.7,21.2,67,1,S,28,1017.8
,2021-04-5,14.9,19.1,0,5.8,8.1,S,37,15:11,16.1,60,7,SSE,22,1022.7,18.2,53,3,SSW,22,1021.5
,2021-04-6,12.1,20.0,0,4.0,4.4,S,31,14:02,15.1,62,7,SE,19,1023.7,19.0,56,6,S,22,1021.7
,2021-04-7,13.6,24.1,0,3.2,4.9,S,31,15:40,15.1,87,8,SW,6,1020.3,23.9,54,1,S,9,1015.7
,2021-04-8,11.8,29.8,0,4.6,4.9,N,52,12:18,21.6,59,1,N,35,1011.0,28.9,21,7,N,26,1005.8
,2021-04-9,12.2,18.1,3.2,6.4,7.9,SW,52,03:10,14.7,64,5,WSW,22,1010.2,15.4,60,6,S,24,1009.3
,2021-04-10,9.4,18.5,0,2.8,3.9,SW,70,16:14,14.0,71,6,W,28,1008.2,15.3,47,7,SW,41,1007.7
,2021-04-11,6.5,15.5,2.0,5.2,6.1,SW,69,13:45,10.2,71,4,WSW,22,1015.2,13.9,44,5,SW,37,1017.0
,2021-04-12,9.0,17.1,1.2,3.2,3.9,WSW,37,00:36,11.5,86,6,SW,19,1023.8,15.2,59,6,SW,13,1021.8
,2021-04-13,5.9,19.5,0,0.0,2.5,N,72,15:31,12.2,70,7,NNE,28,1018.4,17.6,46,7,NNE,48,1010.9
,2021-04-14,12.2,22.7,0,7.8,6.8,N,59,01:09,17.7,42,1,WNW,24,1011.1,19.8,41,7,W,35,1011.3
,2021-04-15,8.7,20.0,0,7.4,5.4,WSW,54,14:39,16.3,44,3,WNW,31,1016.2,16.0,62,7,SW,20,1015.4
,2021-04-16,8.0,16.2,0.4,4.2,1.3,SW,35,10:17,12.0,68,7,SW,13,1024.2,14.7,44,7,S,13,1023.7
,2021-04-17,10.2,17.9,0,3.2,3.7,SW,37,14:05,13.3,49,7,WSW,13,1025.8,16.5,42,7,SW,17,1023.9
,2021-04-18,10.5,18.5,0,3.2,0.7,W,28,10:36,15.0,69,7,WSW,11,1023.6,17.8,53,7,W,19,1020.4
,2021-04-19,10.6,20.5,0,2.8,2.3,NW,41,14:23,14.8,64,6,N,13,1018.5,18.9,43,6,NNW,20,1014.3
,2021-04-20,10.5,19.7,0,5.6,1.9,WSW,63,10:52,16.3,49,5,N,28,1011.2,11.1,89,7,W,20,1010.9
,2021-04-21,4.2,15.9,4.4,0.2,7.7,WSW,31,14:22,9.9,66,1,W,20,1018.8,14.6,34,6,WSW,19,1015.0
,2021-04-22,8.6,17.2,0,4.0,1.6,W,41,12:33,12.9,64,7,N,17,1013.4,16.1,43,7,WNW,22,1012.4
,2021-04-23,11.6,16.5,0,3.0,2.0,W,41,09:14,14.2,60,7,W,24,1018.8,16.0,48,7,WSW,19,1018.7
,2021-04-24,10.3,17.9,0,3.2,1.8,WSW,43,15:57,14.5,50,7,NW,22,1023.5,16.8,56,7,WNW,9,1021.9
,2021-04-25,7.9,17.5,2.0,1.2,3.6,W,30,10:21,12.9,77,6,NW,9,1027.0,16.5,58,7,SSW,15,1025.2
,2021-04-26,8.8,18.2,0,2.2,0.8,SW,30,13:58,13.0,84,7,W,19,1027.9,15.8,64,7,SW,19,1027.2
,2021-04-27,11.4,15.9,0,2.0,0.9,SSE,26,14:06,13.1,81,7,WSW,13,1029.4,15.4,72,7,S,17,1026.7
,2021-04-28,5.5,18.4,0,3.0,9.5,SW,28,12:32,11.3,84,1,W,7,1026.4,16.4,59,5,S,19,1023.7
,2021-04-29,6.2,21.5,0,2.2,9.9,N,24,04:44,11.4,80,1, ,Calm,1024.9,20.9,43,2,SSE,6,1022.7
,2021-04-30,7.6,25.1,0,0.0,10.2,NNE,39,14:22,14.5,66,1,NNE,19,1026.8,24.1,26,0,NNE,22,1024.1
