"Daily Weather Observations for Melbourne Airport, Victoria for May 2021"
"Prepared at 13:01 UTC on Monday 11 April 2022   IDCJDW3049.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,9.2,24.5,0,5.4,7.1,NNE,43,10:19,18.4,43,3,NNE,24,1027.4,23.3,33,7,N,24,1025.0
,2021-05-2,13.4,26.4,0,6.4,3.8,NNE,57,08:33,18.6,48,7,NNE,37,1023.2,25.2,31,2,NNE,33,1019.3
,2021-05-3,9.3,18.5,1.6,6.8,0.8,WSW,56,23:37,13.4,88,7,WNW,7,1020.0,17.1,64,7,S,19,1017.8
,2021-05-4,8.2,15.1,35.0,4.6,0.1,S,54,13:53,11.7,95,7,S,9,1020.0,12.9,81,8,S,30,1021.6
,2021-05-5,5.9,16.3,0.4,0.8,9.1,S,37,14:28,10.9,79,1,WSW,11,1026.1,14.9,60,5,SSW,22,1023.6
,2021-05-6,6.3,21.1,0,2.0,8.4,N,20,23:32,11.5,89,1,WNW,7,1021.5,20.0,51,1,SSE,6,1017.3
,2021-05-7,9.1,22.3,0,2.4,3.6,NNE,26,08:52,16.1,68,4,NNE,20,1014.7,21.6,33,6,SSW,2,1011.5
,2021-05-8,9.1,19.6,0,2.8,5.1,WSW,44,16:48,14.5,72,2,NW,11,1014.1,18.2,56,7,WSW,19,1013.4
,2021-05-9,9.4,20.1,0.8,0.0,7.1,NW,33,11:25,13.4,84,6,N,19,1018.4,18.6,43,3,WNW,19,1015.2
,2021-05-10,9.8,16.9,0,3.8,0.5,N,57,14:14,13.4,67,7,N,30,1010.1,14.8,58,7,NNW,22,1007.7
,2021-05-11,8.9,14.3,14.8,2.8,0.1,SE,52,17:01,9.4,97,8,WSW,26,1019.5,14.1,77,7,SSE,26,1021.3
,2021-05-12,5.1,17.5,0.6,2.6,8.8,SSE,33,00:10,9.1,89,3,WSW,6,1025.0,16.4,55,1,ENE,7,1019.7
,2021-05-13,7.4,17.7,0,1.2,1.0,N,44,09:11,12.8,62,7,N,24,1012.8,12.5,86,8,W,15,1011.4
,2021-05-14,5.1,14.3,2.0,2.4,4.5,W,48,14:17,10.7,71,3,W,24,1014.8,13.2,59,3,WNW,28,1014.1
,2021-05-15,5.7,12.4,2.6,2.4,7.5,WSW,70,03:08,7.2,76,4,WSW,26,1018.6,11.2,62,6,SW,24,1020.6
,2021-05-16,4.1,15.3,0.2,3.0,3.2,W,52,13:02,10.7,66,6,NNW,17,1021.9,14.0,60,7,WNW,26,1019.5
,2021-05-17,8.5,15.6,0,0.6,7.1,SW,35,12:01,11.9,80,2,W,19,1024.8,14.7,57,6,S,13,1025.4
,2021-05-18,6.3,15.4,0,1.8,0.7,N,31,22:48,11.5,71,7,NNW,11,1029.2,14.6,65,7,ENE,9,1026.7
,2021-05-19,6.5,18.2,0,3.6,6.7,NNE,50,23:24,10.8,75,2,NNE,28,1027.5,16.7,43,7,NNW,17,1024.8
,2021-05-20,9.6,16.0,0.2,4.0,0.2,N,52,00:29,10.7,70,7,N,28,1025.9,15.5,60,7,N,9,1026.5
,2021-05-21,4.4,18.3,0,1.6,8.9,N,28,06:28,7.8,86,1,NNE,20,1031.7,17.4,34,1,SSE,7,1028.5
,2021-05-22,2.4,19.0,0,3.0,9.3,NNE,44,10:35,11.0,54,1,N,24,1026.4,18.5,36,0,NNE,24,1023.8
,2021-05-23,6.0,19.6,0,3.4,8.8,NNE,35,11:50,10.7,73,3,N,17,1027.1,19.2,45,3,NE,22,1025.0
,2021-05-24,6.6,19.5,0,2.6,4.8,NNE,67,23:36,13.4,62,7,NNE,28,1027.1,19.3,41,6,NNE,24,1023.6
,2021-05-25,12.6,19.2,0,5.6,3.2,NNE,83,03:12,16.0,56,6,NNE,50,1015.3,13.2,91,8,N,31,1009.9
,2021-05-26,9.8,13.9,7.4,3.4,1.4,WNW,52,04:12,11.7,63,7,WNW,20,1017.4,13.1,51,7,WSW,20,1020.0
,2021-05-27,6.1,13.7,0.6,1.6,0.6,WSW,52,10:09,11.5,82,7,W,19,1026.0,12.6,84,7,WSW,17,1025.6
,2021-05-28,8.6,12.9,1.4,0.4,0.5,S,44,13:07,9.5,76,7,WSW,17,1031.9,11.8,53,7,S,24,1032.4
,2021-05-29,8.9,12.9,0,2.0,4.1,SSW,33,13:47,10.4,64,7,SSE,7,1034.2,11.9,56,5,S,19,1032.3
,2021-05-30,1.3,14.7,0,2.4,8.9,NNE,24,23:21,6.5,86,1,NNE,9,1031.2,14.2,51,,ESE,4,1027.2
,2021-05-31,2.3,16.5,0,2.2,9.1,N,48,23:36,8.2,67,0,N,33,1024.6,16.0,35,2,N,28,1021.5
