"Daily Weather Observations for Melbourne Airport, Victoria for June 2021"
"Prepared at 13:01 UTC on Sunday 10 April 2022   IDCJDW3049.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,6.7,15.3,0,4.0,1.3,NNE,57,10:27,10.3,59,8,NNE,39,1020.0,14.5,51,7,NNE,24,1019.4
,2021-06-2,7.5,18.8,0,3.2,7.7,N,54,11:04,12.7,58,1,N,31,1018.5,17.8,45,5,NNE,30,1015.7
,2021-06-3,8.1,17.0,1.8,3.4,7.5,N,35,01:27,12.3,88,2,N,9,1015.3,16.8,58,5,SSW,7,1013.0
,2021-06-4,8.9,13.3,0,1.2,2.0,WSW,54,05:06,9.8,80,3,W,19,1017.3,11.2,53,7,SSW,24,1018.7
,2021-06-5,2.6,12.3,0,1.4,3.5,N,63,14:08,6.2,76,7,NNE,15,1021.4,11.4,59,7,N,35,1018.0
,2021-06-6,6.1,13.0,0,2.6,4.2,N,54,10:44,9.7,84,7,N,35,1022.3,12.1,78,5,N,33,1020.3
,2021-06-7,9.4,17.7,0,1.0,2.6,N,76,15:02,11.2,77,7,NNE,31,1016.9,16.9,50,7,NNE,41,1009.5
,2021-06-8,8.1,12.4,2.4,4.8,2.3,NNE,57,00:22,8.4,89,7,N,24,1004.7,10.3,75,7,WSW,20,1004.9
,2021-06-9,6.4,13.6,6.4,1.6,0.5,SSW,80,20:20,8.9,90,7,WSW,9,1010.9,11.2,89,8,SSW,43,1009.1
,2021-06-10,8.7,13.8,19.6,3.6,0.3,SSW,85,00:17,13.4,79,8,S,50,1009.7,13.4,74,7,SSE,28,1009.8
,2021-06-11,4.9,14.1,0.4,0.4,1.3,S,24,13:50,9.9,97,7,SW,7,1016.1,12.8,85,7,SSW,15,1014.1
,2021-06-12,9.4,15.2,1.0,0.4,1.0,W,37,11:23,11.8,82,7,W,19,1015.0,14.8,60,7,W,24,1014.5
,2021-06-13,7.9,15.0,0,1.4,0.7,N,17,02:51,10.7,82,7,N,13,1019.1,13.6,69,7,W,6,1017.1
,2021-06-14,9.4,15.6,0,1.4,1.6,NNE,24,14:27,11.3,86,7,N,15,1018.0,14.9,51,6,N,13,1015.8
,2021-06-15,4.5,14.2,0,0.8,0.0,NNE,46,11:14,9.8,87,7,NE,15,1017.3,13.6,66,7,NNE,24,1014.7
,2021-06-16,7.7,14.8,5.0,2.2,2.9,NNE,50,10:31,11.3,85,7,NNE,22,1011.2,13.8,63,7,NNE,24,1008.3
,2021-06-17,4.4,13.1,0.6,1.0,2.6,NNE,31,00:24,7.7,90,7,NW,13,1010.5,12.5,70,7,NE,17,1008.9
,2021-06-18,4.0,12.7,1.0,1.8,0.1,SSW,37,13:36,9.3,90,7,W,19,1012.6,11.7,94,7,SSW,19,1014.7
,2021-06-19,8.8,15.1,4.0,1.6,4.0,SSE,35,13:21,10.9,96,7,SSW,4,1024.7,13.0,75,6,S,22,1025.1
,2021-06-20,4.1,13.7,0.2,0.0,6.9,N,22,23:56,8.0,93,1,W,9,1028.0,12.8,65,2,SW,4,1025.7
,2021-06-21,1.7,14.7,0,0.4,9.1,NE,33,15:05,7.6,77,1,N,17,1028.7,14.3,55,1,NNE,22,1025.9
,2021-06-22,1.7,13.8,0,2.0,1.9,NNE,46,11:55,6.0,88,7,NNE,17,1029.5,12.2,67,7,N,9,1026.5
,2021-06-23,6.0,14.4,0,2.7,2.1,N,74,03:51,11.5,68,8,N,26,1019.9,13.0,75,7,NNE,50,1013.0
,2021-06-24,7.6,15.6,0.4,1.0,5.2,NNE,59,17:10,11.8,80,1,NNE,9,1007.4,13.7,58,7,NNE,24,1005.2
,2021-06-25,9.4,12.0,1.0,2.4,0.3,NNE,46,03:26,10.0,90,7,NNE,26,1010.3,11.8,86,7,W,9,1011.3
,2021-06-26,7.4,13.1,6.4,0.2,4.6,N,41,23:54,9.1,83,3,W,15,1020.1,12.0,51,3,W,24,1020.3
,2021-06-27,6.9,15.5,0,2.4,4.9,N,37,00:06,9.6,83,5,N,20,1026.2,13.0,71,5,SW,9,1027.1
,2021-06-28,5.7,13.9,0.2,1.4,9.0,N,35,09:49,7.8,90,1,N,22,1032.4,13.5,55,1,NNE,19,1031.1
,2021-06-29,3.0,15.3,0,2.2,8.8,NNE,50,11:16,8.8,81,1,N,13,1032.1,15.1,58,2,NNE,28,1029.8
,2021-06-30,6.1,15.9,0,1.2,6.8,NNE,56,09:46,11.7,70,1,N,24,1026.9,15.6,61,1,NNE,31,1022.9
