"Daily Weather Observations for Melbourne Airport, Victoria for September 2021"
"Prepared at 16:01 UTC on Thursday  7 April 2022   IDCJDW3049.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,10.5,22.3,0,6.6,10.7,NNE,56,23:46,16.5,52,4,N,30,1023.8,21.8,41,7,NNE,31,1021.9
,2021-09-2,13.3,24.5,0,7.6,10.8,N,80,13:18,18.2,45,0,NNE,24,1020.7,23.8,34,0,NNE,52,1014.1
,2021-09-3,17.1,23.3,0,12.0,2.5,NNE,76,02:02,20.5,58,7,N,39,1013.2,15.8,85,8,N,22,1012.5
,2021-09-4,8.5,13.3,31.2,4.4,4.1,S,48,14:38,10.2,91,7,S,30,1019.5,12.8,60,6,S,31,1018.8
,2021-09-5,5.6,13.9,13.6,4.4,6.4,WSW,50,17:03,9.5,78,7,SSW,24,1022.6,11.9,72,7,SW,24,1022.2
,2021-09-6,6.5,15.5,0.2,1.8,10.4,WSW,35,01:25,11.0,71,2,WSW,17,1031.1,14.9,49,1,WSW,19,1030.1
,2021-09-7,6.9,15.6,0,3.2,4.9,WSW,46,10:08,11.8,75,7,WSW,28,1030.8,15.2,64,6,WSW,22,1030.4
,2021-09-8,5.6,20.4,0,1.4,11.0,N,44,16:10,11.5,68,0,NNE,15,1030.9,19.6,49,1,N,28,1026.4
,2021-09-9,9.8,24.3,0,5.2,8.5,N,63,06:20,11.9,73,7,N,44,1022.9,23.6,27,6,NW,37,1017.1
,2021-09-10,7.0,19.7,0,6.2,2.9,NNE,63,21:44,11.9,78,7,NW,11,1023.8,17.7,53,7,NE,17,1019.3
,2021-09-11,11.8,23.3,0,6.4,1.1,N,70,03:25,15.1,53,7,N,48,1005.9,22.2,38,7,NW,39,1003.2
,2021-09-12,6.3,15.4,0,5.2,7.3,W,48,08:54,11.7,54,1,WNW,35,1006.1,13.2,51,7,N,19,1005.5
,2021-09-13,4.8,13.9,4.8,3.6,9.1,SSE,41,12:36,9.0,83,7,WSW,15,1019.5,13.3,53,4,S,31,1021.4
,2021-09-14,3.9,14.7,1.2,2.4,8.5,SSE,30,12:51,9.7,78,3,W,11,1027.8,13.1,52,5,SSW,17,1025.8
,2021-09-15,2.7,14.8,0.2,3.0,10.8,S,37,18:48,9.0,78,1,S,13,1027.6,14.2,48,2,SSW,22,1024.6
,2021-09-16,2.9,16.9,0,3.4,9.1,NNE,30,15:50,9.2,82,2,WSW,11,1024.6,16.2,47,5,NNE,19,1020.5
,2021-09-17,5.0,20.5,0,3.6,5.8,NNE,85,12:30,14.1,59,1,NNE,50,1014.9,20.0,45,3,NNE,56,1008.6
,2021-09-18,8.6,16.5,0.4,5.4,9.3,WSW,78,13:43,13.7,51,1,W,31,1012.9,14.0,48,5,W,33,1014.7
,2021-09-19,5.1,17.7,1.8,5.8,2.6,NNW,59,14:36,10.8,72,7,NNE,31,1017.1,16.4,49,7,N,41,1013.1
,2021-09-20,8.2,14.0,0.6,5.6,6.6,W,65,14:53,11.2,57,4,W,35,1012.4,6.5,83,7,W,48,1012.6
,2021-09-21,4.8,13.2,6.4,3.0,3.5,SW,50,09:43,9.1,76,4,SW,24,1025.3,11.4,58,7,S,20,1026.3
,2021-09-22,8.6,19.1,0.4,0.8,6.2,WSW,30,02:37,10.9,90,7,SW,11,1027.0,18.6,56,3,WSW,9,1023.5
,2021-09-23,8.1,20.6,0,2.8,11.4,NNW,46,14:43,13.5,81,2,NNW,15,1020.1,20.1,49,1,NNW,28,1015.3
,2021-09-24,10.1,18.2,0,7.6,9.1,W,72,15:00,15.6,56,1,NNW,24,1009.6,17.8,38,5,W,48,1008.2
,2021-09-25,3.6,13.5,0.6,4.6,5.9,SW,43,13:17,8.9,70,3,SW,24,1020.8,11.2,55,6,S,22,1022.4
,2021-09-26,1.8,14.5,0,2.4,9.7,SSE,31,13:38,9.8,66,1,S,11,1028.4,13.7,50,1,SSW,13,1025.0
,2021-09-27,1.9,18.8,0,3.8,11.2,NNE,56,09:16,13.3,51,5,NNE,37,1023.0,18.0,42,5,NNE,24,1018.5
,2021-09-28,6.6,22.6,0,6.0,9.1,N,35,09:49,16.0,50,7,NNE,17,1017.9,21.7,36,7,N,19,1014.4
,2021-09-29,10.8,17.9,0,5.2,0.8,SE,31,18:53,12.3,85,7,W,7,1015.8,17.0,64,7,SSW,11,1011.6
,2021-09-30,12.3,18.0,5.2,2.0,0.4,SSE,24,14:29,15.8,87,7,ESE,4,1008.7,14.9,92,8,SSE,15,1004.8
