"Daily Weather Observations for Melbourne Airport, Victoria for January 2022"
"Prepared at 13:01 UTC on Sunday 17 April 2022   IDCJDW3049.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,18.2,38.4,0,16.4,8.5,NNE,54,06:23,29.8,27,4,N,31,1008.0,30.3,35,7,SSE,28,1005.9
,2022-01-2,19.9,32.6,0,11.6,8.6,S,44,13:31,23.8,45,7,S,11,1007.0,27.8,42,3,S,35,1007.2
,2022-01-3,15.3,21.8,0,10.0,10.5,S,44,13:56,18.0,64,6,S,19,1013.3,21.1,50,1,S,30,1012.7
,2022-01-4,14.5,22.9,0,7.6,0.5,S,35,23:15,15.8,85,8,SW,15,1013.3,19.7,74,8,SW,17,1012.2
,2022-01-5,15.8,30.1,0,1.8,5.0,ENE,54,14:28,21.4,76,7,S,11,1009.8,27.3,52,7,E,22,1007.6
,2022-01-6,15.4,30.6,0,6.6,9.9,NNE,44,13:34,22.3,65,4,ESE,9,1010.3,23.2,76,7,NW,26,1007.7
,2022-01-7,17.6,27.0,0,7.8,5.2,SSW,61,16:39,23.6,62,6,NNE,26,1008.0,24.4,70,5,WSW,15,1007.1
,2022-01-8,16.4,20.8,19.2,5.0,4.8,SW,33,04:18,16.7,98,8,S,19,1012.8,18.5,82,7,S,24,1013.7
,2022-01-9,14.4,23.3,0.4,2.4,9.7,SSE,31,14:37,16.2,73,7,SSE,13,1016.2,23.0,58,1,S,20,1015.0
,2022-01-10,12.4,31.6,0,6.8,10.9,S,37,12:56,17.2,88,5,NNE,19,1017.7,30.3,31,2,SSE,26,1016.1
,2022-01-11,16.6,29.3,0,8.0,10.8,SSW,46,13:47,20.3,77,7,SW,11,1020.8,27.5,47,6,S,33,1019.3
,2022-01-12,14.8,30.5,0,7.6,11.7,SW,46,13:29,20.5,73,,SW,7,1021.7,29.6,49,4,SW,17,1018.0
,2022-01-13,15.3,35.2,0,8.2,9.8,NNE,46,17:45,22.9,67,1,E,7,1016.3,33.3,28,3,NNE,17,1010.3
,2022-01-14,17.6,33.4,0.4,10.4,8.9,NNE,52,10:19,23.1,70,7,NNE,33,1005.6,30.4,46,7,N,28,1002.2
,2022-01-15,17.6,25.3,0.2,9.0,5.0,SSE,39,16:39,18.9,75,8,WSW,19,1004.5,22.8,64,7,S,19,1005.4
,2022-01-16,15.7,31.5,0,5.8,11.6,SSE,33,15:10,19.3,68,1,SSE,4,1009.3,30.2,36,1,SSW,11,1006.2
,2022-01-17,17.2,25.0,0,8.0,7.3,S,48,15:53,17.5,74,7,SW,22,1010.9,23.3,50,3,SSE,17,1010.6
,2022-01-18,16.2,22.8,0,7.6,6.1,SSW,48,15:23,17.5,60,7,S,20,1016.3,20.3,50,6,S,31,1016.4
,2022-01-19,13.7,27.7,0,7.2,13.6,SSE,57,14:09,19.0,65,1,SSE,13,1021.2,26.5,42,1,SE,37,1020.7
,2022-01-20,11.0,29.8,0,10.0,13.6,S,33,12:12,17.4,70,0,W,13,1027.7,26.9,29,1,SSE,9,1025.2
,2022-01-21,15.1,31.7,0,8.8,13.5,N,56,07:48,22.5,45,0,NNE,39,1027.8,30.6,31,1,SE,26,1023.9
,2022-01-22,15.5,33.3,0,12.0,13.3,N,57,07:29,23.6,46,1,N,46,1023.0,31.7,28,1,E,15,1018.3
,2022-01-23,15.8,34.1,0,11.4,11.9,NNE,48,07:50,25.3,44,2,N,30,1016.6,32.3,30,7,E,11,1012.5
,2022-01-24,17.5,35.1,0,10.8,10.6,N,44,07:31,25.2,49,6,N,28,1011.5,34.2,31,3,SE,19,1007.1
,2022-01-25,17.3,34.4,0,10.0,12.8,S,41,15:16,25.5,57,3,NE,9,1009.1,33.1,34,1,S,30,1006.7
,2022-01-26,16.6,37.3,0,9.2,10.5,NW,48,18:55,24.4,65,1,ESE,4,1010.1,34.8,26,2,NE,19,1006.4
,2022-01-27,19.6,33.3,12.2,13.0,9.7,NNE,65,05:10,21.9,87,7,NE,26,1009.7,30.8,48,1,NNE,37,1006.9
,2022-01-28,21.1,34.5,3.6,13.2,4.6,NNE,65,06:30,25.8,68,6,NNE,26,1009.3,21.3,91,7,S,20,1011.4
,2022-01-29,16.9,21.6,22.0,5.4,0.3,S,35,15:15,17.6,94,7,SSE,15,1017.5,20.9,70,7,S,20,1016.8
,2022-01-30,17.5,28.7,0.2,3.0,6.2,S,35,16:35,19.5,85,7,NW,7,1015.6,25.9,64,6,SSW,15,1012.4
,2022-01-31,19.2,35.2,0,4.4,10.9,WNW,39,14:42,21.4,84,4,WSW,2,1009.3,33.9,38,5,N,17,1004.1
