"Daily Weather Observations for Melbourne Airport, Victoria for February 2022"
"Prepared at 16:01 UTC on Saturday 16 April 2022   IDCJDW3049.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,19.2,25.4,0,9.6,8.4,SSW,56,15:51,20.0,71,3,SW,26,1003.1,23.0,47,6,SSW,33,1003.1
,2022-02-2,12.4,19.3,0,8.6,1.1,S,52,11:46,14.9,68,4,SW,22,1011.4,17.1,51,7,S,22,1012.6
,2022-02-3,10.1,18.7,0.2,4.2,2.2,SSW,56,10:17,14.3,75,7,SW,24,1014.9,15.7,66,7,SSW,33,1016.5
,2022-02-4,9.7,23.6,0,2.6,12.5,S,50,16:46,16.4,70,1,SSE,9,1021.5,22.4,46,4,S,28,1019.6
,2022-02-5,11.5,26.3,0,7.6,13.2,S,39,16:39,17.0,74,1,W,9,1022.3,25.3,38,2,S,24,1020.0
,2022-02-6,12.5,27.9,0,8.2,12.9,S,44,16:00,18.1,74,1,WNW,2,1025.1,26.5,39,4,SSE,17,1023.1
,2022-02-7,12.4,28.4,0,8.2,13.1,SSW,46,15:49,20.4,56,1,ENE,4,1024.4,27.5,35,1,S,26,1020.3
,2022-02-8,12.2,31.1,0,10.8,12.1,N,52,07:29,22.1,48,1,N,39,1015.6,29.7,27,3,ENE,13,1011.3
,2022-02-9,17.2,32.0,0,9.2,4.4,SW,41,14:45,22.4,44,8,N,15,1008.9,30.7,33,6,WSW,13,1006.5
,2022-02-10,15.0,24.0,2.2,5.2,6.8,SSE,43,16:09,18.5,75,7,WSW,17,1014.7,21.9,54,4,S,24,1015.6
,2022-02-11,14.0,22.3,0,7.6,9.2,S,48,14:36,18.4,60,4,SSE,28,1021.8,21.4,46,5,SSW,30,1020.8
,2022-02-12,12.4,28.8,0,6.4,12.4,S,37,16:46,17.2,80,1,WNW,6,1020.2,26.5,39,2,SSW,15,1017.0
,2022-02-13,14.3,33.3,0,8.6,9.1,NNE,78,08:46,21.9,56,4,NNE,54,1016.2,30.5,34,7,N,39,1014.9
,2022-02-14,14.5,34.6,0,12.6,12.2,N,56,10:21,26.2,41,3,N,30,1019.6,27.1,54,1,S,28,1019.2
,2022-02-15,17.3,24.9,0,9.8,6.7,S,30,15:56,17.7,80,8,S,19,1024.4,23.0,54,3,SSW,19,1022.4
,2022-02-16,14.0,27.7,0,5.6,2.4,SSE,24,13:45,17.6,82,7,WNW,4,1016.2,25.9,56,7,SSE,17,1012.0
,2022-02-17,15.7,24.1,0,4.0,2.4,SW,37,02:34,17.6,75,7,SW,17,1012.7,23.4,43,7,SSW,19,1011.1
,2022-02-18,12.1,22.3,0,5.8,7.3,S,54,16:07,15.6,77,7,WSW,17,1015.0,19.0,54,7,SSW,33,1017.0
,2022-02-19,13.4,24.4,0,6.2,12.4,SSE,33,23:58,16.2,56,1,SE,19,1021.0,22.9,40,1,SSE,13,1017.3
,2022-02-20,10.9,29.5,0,7.2,5.6,WNW,50,12:17,15.5,78,6,WNW,2,1008.3,25.4,41,7,SSW,26,1004.0
,2022-02-21,10.6,20.8,2.2,5.8,11.3,SSE,46,13:33,14.3,69,1,SW,22,1012.3,18.5,46,6,SSE,22,1013.4
,2022-02-22,10.5,24.9,0,6.4,12.5,S,43,15:14,16.3,59,1,SSE,20,1017.7,24.2,41,1,SSE,11,1015.8
,2022-02-23,11.9,33.2,0,6.4,9.4,NNE,44,09:16,18.0,76,2,SSW,7,1017.9,31.3,32,5,ENE,9,1014.9
,2022-02-24,17.2,23.9,0.2,6.8,2.9,S,35,17:18,19.3,91,7,SW,15,1019.3,22.7,69,7,S,19,1018.1
,2022-02-25,16.6,23.7,0,4.8,5.8,S,44,12:24,16.8,79,8,SW,15,1020.5,22.7,56,3,S,24,1018.4
,2022-02-26,15.1,29.3,0,4.8,10.8,S,39,16:31,18.9,83,5,WNW,9,1018.4,27.8,48,3,S,17,1015.3
,2022-02-27,14.9,26.8,0,5.8,3.4,SSW,28,15:27,18.6,87,7,SW,6,1016.0,25.0,52,7,WSW,9,1013.2
,2022-02-28,17.6,25.8,0,4.8,3.7,S,31,16:16,19.4,82,8,SW,11,1014.5,23.5,64,6,SSW,15,1012.8
