"Daily Weather Observations for Melbourne Airport, Victoria for March 2022"
"Prepared at 13:01 UTC on Thursday 14 April 2022   IDCJDW3049.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,18.1,25.9,0.4,3.8,1.1,NNE,30,14:42,19.8,92,7,SE,11,1012.2,21.5,88,7,E,9,1011.4
,2022-03-2,18.7,29.4,7.6,0.6,4.4,SSE,41,17:13,20.1,96,7,S,11,1013.2,26.1,52,6, ,Calm,1011.7
,2022-03-3,15.2,30.6,0.2,3.6,12.1,SSW,33,16:34,19.5,88,0,W,9,1014.3,29.2,40,1,SSE,15,1012.5
,2022-03-4,15.5,32.8,0,8.0,5.3,N,46,08:19,24.8,59,6,N,31,1011.5,31.4,32,7,NW,20,1009.4
,2022-03-5,16.4,21.8,38.8,10.0,1.5,SSW,46,12:32,16.8,89,7,W,13,1006.9,19.8,83,7,S,17,1007.8
,2022-03-6,14.8,20.8,9.2,3.2,1.3,SE,57,15:30,15.1,92,8,SSW,20,1016.4,20.5,70,7,SSE,35,1016.1
,2022-03-7,12.8,24.0,1.6,2.8,8.1,S,41,14:17,16.3,81,2,WSW,9,1015.8,23.2,58,4,SW,20,1013.0
,2022-03-8,14.3,20.5,6.4,5.8,3.3,S,56,11:27,15.5,83,7,SSE,28,1018.2,17.9,72,7,S,37,1017.9
,2022-03-9,13.3,21.4,0,4.0,11.1,S,56,16:27,15.8,72,1,SE,28,1021.0,20.3,49,4,S,33,1019.6
,2022-03-10,11.3,20.8,0,6.6,11.6,SSW,41,13:33,15.5,72,1,S,19,1021.7,19.1,51,3,S,20,1020.4
,2022-03-11,10.7,20.7,0,4.6,4.4,S,33,14:37,15.1,79,7,WSW,7,1021.3,18.9,55,6,S,15,1019.9
,2022-03-12,8.8,22.4,0,3.4,10.7,S,30,13:07,13.3,85,7, ,Calm,1022.6,21.7,51,1,S,15,1020.9
,2022-03-13,12.5,29.1,0,5.8,11.6,NNE,56,11:14,19.3,70,1,NE,20,1020.4,28.2,44,3,NNE,28,1018.7
,2022-03-14,14.5,28.6,0,5.0,9.3,ESE,48,16:18,16.8,93,5,NW,2,1021.3,27.8,50,6,SSE,20,1018.5
,2022-03-15,16.3,26.0,0,6.2,3.6,NNE,57,09:20,20.1,76,2,NNE,19,1019.6,24.6,48,7,NW,19,1018.4
,2022-03-16,16.6,23.4,0,3.6,1.7,NNE,54,11:32,18.4,80,7,NNE,31,1018.7,20.3,72,7,N,28,1016.6
,2022-03-17,16.2,30.5,0,4.6,5.0,N,44,08:25,21.8,64,7,N,19,1015.1,26.2,58,5,NNE,17,1013.4
,2022-03-18,18.0,21.7,0.2,5.0,2.0,S,41,14:28,18.2,86,7,SSW,15,1020.9,19.6,72,7,S,26,1020.9
,2022-03-19,11.8,30.4,0,3.2,10.7,NNE,39,11:57,16.2,87,1,NW,9,1019.8,28.6,43,2,N,22,1016.4
,2022-03-20,14.8,27.5,0,4.2,8.0,S,48,15:08,17.6,79,6,SSW,2,1017.5,27.0,47,7,SSE,11,1015.9
,2022-03-21,16.9,30.4,0,5.0,10.3,S,35,17:51,18.5,81,6,NE,9,1015.5,29.2,46,3,S,22,1012.3
,2022-03-22,16.4,22.4,0,5.6,2.6,S,33,13:12,17.6,85,7,ENE,4,1010.5,18.7,81,8,S,17,1009.5
,2022-03-23,10.4,19.7,1.4,2.2,7.3,SSW,41,10:49,13.8,78,1,WSW,20,1014.8,19.5,50,7,SSW,20,1015.0
,2022-03-24,10.0,20.5,0,3.6,8.7,S,35,15:59,12.2,77,7,W,11,1017.8,20.3,47,4,S,17,1016.7
,2022-03-25,12.2,20.8,0,5.2,7.9,SSE,33,12:12,15.4,78,6,SSW,9,1022.0,18.6,58,6,S,19,1021.6
,2022-03-26,9.7,24.6,0,3.8,11.1,SSE,33,14:10,13.5,90,1,NW,9,1023.1,23.9,51,1,SSE,7,1019.8
,2022-03-27,10.6,28.7,0,4.0,11.0,NNE,48,10:31,18.4,66,0,N,28,1019.1,27.5,32,2,NNE,15,1015.7
,2022-03-28,17.1,25.8,0,8.8,6.0,S,39,14:02,21.8,48,7,N,24,1014.3,23.3,50,3,S,31,1014.4
,2022-03-29,14.7,20.5,0,4.0,0.5,S,35,18:56,16.8,81,7,E,11,1016.9,19.8,65,7,SSE,17,1014.8
,2022-03-30,14.7,21.0,0,3.8,5.5,S,52,19:34,15.5,61,7,S,19,1016.7,20.1,49,5,S,31,1016.5
,2022-03-31,13.2,21.4,0,5.6,5.9,S,57,15:22,16.0,83,7,SSW,22,1022.7,19.8,58,6,S,37,1023.6
