Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
2.03140767,254.9157715,102.53125,26.79157892,10599.42,x06A063,24.27052545
2.064764185,254.7070313,101.375,34.9912625,10568.94,x06A063,24.27052545
2.083316793,254.6356201,100.796875,28.43218541,10559.82321,x06A063,24.27052545
2.098392365,254.5257568,100.2226563,36.68447549,10538.46,x06A063,24.27052545
2.159192721,254.1687012,97.93359375,25.08012042,10454.64,x06A063,24.27052545
2.209647191,253.7237549,95.66015625,37.83493338,10333.04653,x06A063,24.27052545
2.226978188,253.6468506,95.09375,29.67548057,10317.37945,x06A063,24.27052545
2.24237862,253.5369873,94.52734375,32.77441836,10294.62,x06A063,24.27052545
2.329503568,252.7789307,90.6328125,39.70259864,10073.64,x06A063,24.27052545
2.33596533,252.6690674,90.08203125,28.02972387,10025.10078,x06A063,24.27052545
2.344571988,252.5482178,89.53515625,30.86592509,9982.2,x06A063,24.27052545
2.350942232,252.4273682,88.984375,27.59457322,9932.663826,x06A063,24.27052545
2.433259894,251.3616943,84.140625,36.35510606,9563.1,x06A063,24.27052545
2.443391108,251.2243652,83.609375,33.40837365,9525,x06A063,24.27052545
2.450439455,251.1090088,83.08203125,25.18241766,9479.28,x06A063,24.27052545
2.468424861,250.8563232,82.04296875,40.59003111,9397.658164,x06A063,24.27052545
2.47736291,250.7189941,81.51953125,27.70508021,9357.36,x06A063,24.27052545
2.497226117,250.4223633,80.48828125,35.28450277,9281.16,x06A063,24.27052545
2.518304619,250.1806641,79.4609375,45.63134939,9207.62003,x06A063,24.27052545
2.535140029,249.8620605,78.4375,35.22930745,9124.389478,x06A063,24.27052545
2.550539584,249.5874023,77.41796875,27.63965529,9037.32,x06A063,24.27052545
2.558497763,249.4555664,76.90625,25.16328721,8993.924507,x06A063,24.27052545
2.57114694,249.3237305,76.3984375,42.51450807,8961.12,x06A063,24.27052545
2.578904561,249.1699219,75.88671875,35.76215707,8917.197373,x06A063,24.27052545
2.585522723,248.9831543,75.37890625,25.87553504,8871.0825,x06A063,24.27052545
2.608598246,248.6645508,74.3671875,36.16451444,8800.681261,x06A063,24.27052545
2.630675292,248.1811523,72.85546875,36.3961148,8665.579389,x06A063,24.27052545
2.641319215,248.0328369,72.3515625,26.8764749,8628.643749,x06A063,24.27052545
2.650404491,247.8460693,71.85546875,28.71609968,8588.09622,x06A063,24.27052545
2.659988593,247.6977539,71.3515625,42.2443449,8546.78468,x06A063,24.27052545
2.685065296,247.1704102,69.86328125,28.00967866,8420.1,x06A063,24.27052545
2.737018445,246.0827637,66.9140625,24.91321259,8168.64,x06A063,24.27052545
2.761485141,245.5059814,65.4609375,43.20371816,8039.1,x06A063,24.27052545
2.778427059,245.1159668,64.5,41.90517128,7955.28,x06A063,24.27052545
2.78498421,244.8742676,64.0234375,43.29569174,7909.56,x06A063,24.27052545
2.797635015,244.6929932,63.54296875,38.20456499,7876.192499,x06A063,24.27052545
2.812968613,244.2755127,62.60546875,43.39695549,7790.423663,x06A063,24.27052545
2.82914448,243.8360596,61.671875,26.50551328,7707.841667,x06A063,24.27052545
2.833200307,243.6273193,61.20703125,26.17603431,7658.1,x06A063,24.27052545
2.847807746,243.4130859,60.74609375,53.88336465,7627.62,x06A063,24.27052545
2.853455134,243.1988525,60.2890625,51.55899273,7581.907925,x06A063,24.27052545
2.863536548,242.9516602,59.828125,37.10993342,7545.022687,x06A063,24.27052545
2.872443155,242.7374268,59.37890625,44.42164252,7505.7,x06A063,24.27052545
2.877648601,242.4957275,58.92578125,32.82635864,7459.98,x06A063,24.27052545
2.894571953,242.0013428,58.03125,36.77419325,7380.229957,x06A063,24.27052545
2.904345073,241.7596436,57.5859375,27.97734484,7343.552571,x06A063,24.27052545
2.906307362,241.539917,57.14453125,25.95529599,7292.34,x06A063,24.27052545
2.959278367,240.0128174,54.5390625,25.89518581,7063.016627,x06A063,24.27052545
2.972728689,239.463501,53.6953125,45.03371324,6979.92,x06A063,24.27052545
2.984987401,239.1668701,53.27734375,38.49067865,6949.317041,x06A063,24.27052545
2.988953078,238.8977051,52.85546875,30.97751682,6903.923343,x06A063,24.27052545
3.003713277,238.3099365,52.03125,44.51310627,6825.061269,x06A063,24.27052545
3.019049525,237.4310303,50.80859375,43.47027136,6697.98,x06A063,24.27052545
3.030842648,236.8377686,50.00390625,40.61983583,6617.003877,x06A063,24.27052545
3.036289336,236.519165,49.60546875,41.01877401,6576.06,x06A063,24.27052545
3.047816694,236.2225342,49.2109375,35.69954223,6545.58,x06A063,24.27052545
3.059918522,235.9204102,48.8125,33.42809084,6515.1,x06A063,24.27052545
3.059954922,235.5743408,48.421875,28.62120552,6466.708649,x06A063,24.27052545
3.068623807,235.2722168,48.03125,39.59249367,6430.701264,x06A063,24.27052545
3.074955193,234.9151611,47.64453125,24.95683589,6393.18,x06A063,24.27052545
3.082454035,234.5855713,47.26171875,30.11174004,6356.513727,x06A063,24.27052545
3.087373,234.2504883,46.87890625,41.30055624,6315.435504,x06A063,24.27052545
3.104093958,232.4761963,45.0078125,27.40476142,6108.030835,x06A063,24.27052545
3.11027146,232.0806885,44.6328125,36.98012782,6069.682292,x06A063,24.27052545
3.123198646,231.7456055,44.265625,34.68077163,6042.66,x06A063,24.27052545
3.127351961,230.9381104,43.5390625,35.2787977,5958.081712,x06A063,24.27052545
3.132995107,230.5371094,43.17578125,36.31929314,5920.74,x06A063,24.27052545
3.139033054,230.1196289,42.81640625,28.61324972,5884.953817,x06A063,24.27052545
3.142351444,229.7021484,42.4609375,40.57004628,5844.54,x06A063,24.27052545
3.144780537,229.2626953,42.109375,37.51235427,5804.403176,x06A063,24.27052545
3.150071573,228.8562012,41.7578125,31.31301062,5768.34,x06A063,24.27052545
3.158907954,228.449707,41.41015625,26.73116571,5737.332354,x06A063,24.27052545
3.15599085,227.9992676,41.0625,38.17066816,5689.559906,x06A063,24.27052545
3.161520101,227.5598145,40.7109375,26.90341124,5654.04,x06A063,24.27052545
3.173069961,226.6809082,40.00390625,34.99478754,5580.921486,x06A063,24.27052545
3.196454961,224.4891357,38.203125,36.79804952,5387.34,x06A063,24.27052545
3.202171957,224.0881348,37.83984375,39.35921465,5349.24,x06A063,24.27052545
3.208625386,223.6376953,37.47265625,27.2826343,5312.46014,x06A063,24.27052545
3.220479298,222.7697754,36.75,30.48611883,5237.031029,x06A063,24.27052545
3.273115863,221.3580322,35.6953125,46.29925425,5166.36,x06A063,24.27052545
3.339635936,219.9133301,34.66796875,41.78548145,5113.02,x06A063,24.27052545
3.412443804,217.869873,33.3515625,39.04483405,5025.490189,x06A063,24.27052545
3.427450691,217.3590088,33.03125,41.43919085,5000.301615,x06A063,24.27052545
3.443853469,216.2713623,32.40625,40.65980861,4937.346437,x06A063,24.27052545
3.458516763,214.052124,31.22265625,36.08533888,4800.6,x06A063,24.27052545
3.467829542,213.4643555,30.94140625,39.45616665,4773.553401,x06A063,24.27052545
3.478018718,211.7010498,30.12109375,33.54797667,4678.561828,x06A063,24.27052545
3.473021138,211.1187744,29.859375,27.32727361,4640.58,x06A063,24.27052545
3.474300813,208.6138916,28.84765625,46.6899277,4511.04,x06A063,24.27052545
3.472538347,207.9602051,28.6015625,35.21259433,4478.805148,x06A063,24.27052545
3.466529044,206.6308594,28.12890625,35.51465224,4413.143979,x06A063,24.27052545
3.462233856,205.2575684,27.66796875,32.55012041,4351.02,x06A063,24.27052545
3.46033888,203.8238525,27.2265625,36.02545646,4293.268772,x06A063,24.27052545
3.452453523,203.1152344,27.015625,38.72347788,4259.58,x06A063,24.27052545
3.44934114,202.3791504,26.8046875,36.91117751,4230.451815,x06A063,24.27052545
3.429663457,200.1434326,26.2109375,35.5295623,4139.340863,x06A063,24.27052545
3.421348925,199.3579102,26.01953125,37.01616453,4108.38712,x06A063,24.27052545
3.410911772,198.5778809,25.8359375,39.36924919,4076.7,x06A063,24.27052545
3.354867555,194.5184326,24.984375,39.65434744,3926.142497,x06A063,24.27052545
3.324771033,192.8320313,24.68359375,32.4782816,3866.069941,x06A063,24.27052545
3.263453535,190.2337646,24.2734375,34.90005818,3768.50625,x06A063,24.27052545
3.205293629,187.5860596,23.90625,31.33061857,3680.46,x06A063,24.27052545
3.180254006,186.6851807,23.80078125,41.54532737,3648.33945,x06A063,24.27052545
3.133546245,184.8724365,23.59375,39.87998133,3589.02,x06A063,24.27052545
3.105539048,183.9550781,23.5,37.23359243,3557.290334,x06A063,24.27052545
3.050703048,182.1203613,23.3359375,36.13531113,3497.58,x06A063,24.27052545
3.030143297,181.1975098,23.265625,29.90204237,3474.72,x06A063,24.27052545
2.98833283,179.3572998,23.13671875,34.99903408,3429,x06A063,24.27052545
2.9622675,177.5170898,23.03515625,30.74217596,3398.820789,x06A063,24.27052545
2.929647481,176.6217041,23,36.92915507,3370.468928,x06A063,24.27052545
2.85319358,174.7869873,22.93359375,32.42882376,3307.08,x06A063,24.27052545
2.815014797,173.9080811,22.91015625,29.22188244,3276.6,x06A063,24.27052545
2.786737718,172.9907227,22.89453125,35.81009848,3253.74,x06A063,24.27052545
2.767521054,172.0898438,22.87890625,30.82807034,3238.233566,x06A063,24.27052545
