Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
2.109091894,147.1398926,10.8125,14.06457715,1821.18,x76CD14,14.05890215
3.00859279,153.3691406,9.875,14.39448637,2038.624808,x76CD14,14.05890215
3.401314282,156.4837646,9.53515625,16.72243393,2124.409879,x76CD14,14.05890215
4.935376009,168.5687256,8.578125,15.57156584,2438.4,x76CD14,14.05890215
5.320721975,172.4963379,8.390625,18.93768947,2511.318891,x76CD14,14.05890215
5.970917201,178.7860107,8.1796875,14.15203598,2645.486095,x76CD14,14.05890215
6.407978321,183.1530762,8.09375,16.38054135,2741.840493,x76CD14,14.05890215
6.699029784,185.3173828,8.0703125,24.01356502,2811.31035,x76CD14,14.05890215
6.930961803,187.5256348,8.046875,22.51465383,2866.117113,x76CD14,14.05890215
7.225579478,189.6899414,8.0078125,15.20176024,2933.7,x76CD14,14.05890215
7.374255839,191.854248,7.953125,19.59760257,2958.018022,x76CD14,14.05890215
7.650300658,194.0240479,7.875,14.85062097,3009.3132,x76CD14,14.05890215
7.807175663,196.1608887,7.76953125,19.81469649,3021.175508,x76CD14,14.05890215
9.144988828,204.9279785,7.27734375,14.48788429,3206.943451,x76CD14,14.05890215
9.4500672,207.2900391,7.171875,15.65093352,3244.997234,x76CD14,14.05890215
9.982928754,249.7247314,7.5390625,24.99917771,3484.147535,x76CD14,14.05890215
9.853800692,252.322998,7.7109375,39.51730423,3505.853962,x76CD14,14.05890215
9.693098629,254.8553467,7.89453125,34.69701133,3525.317191,x76CD14,14.05890215
9.534472432,257.2723389,8.1015625,37.736809,3549.375896,x76CD14,14.05890215
9.435375435,259.6014404,8.31640625,48.85241951,3588.149518,x76CD14,14.05890215
9.244970583,261.8096924,8.55078125,28.64772619,3611.88,x76CD14,14.05890215
9.049928266,263.8861084,8.79296875,37.13645733,3629.064341,x76CD14,14.05890215
8.923402826,265.8581543,9.0546875,27.56410188,3671.550716,x76CD14,14.05890215
8.847687964,267.7038574,9.3203125,17.96466977,3728.140756,x76CD14,14.05890215
8.74792886,269.4506836,9.59765625,57.20029449,3771.9,x76CD14,14.05890215
8.638192562,271.1260986,9.8828125,17.32047132,3825.24,x76CD14,14.05890215
8.518705404,272.6641846,10.17578125,23.57888759,3868.515649,x76CD14,14.05890215
8.44600417,274.1143799,10.4765625,24.09201037,3928.271616,x76CD14,14.05890215
8.295914761,275.5041504,10.78515625,23.09169108,3962.4,x76CD14,14.05890215
8.098960093,276.8280029,11.1015625,31.98958597,3977.64,x76CD14,14.05890215
7.887915998,278.0914307,11.421875,58.52267526,3982.373128,x76CD14,14.05890215
7.705674964,279.2889404,11.75,24.90664757,4004.023968,x76CD14,14.05890215
7.553668692,280.4370117,12.08203125,16.33637514,4030.967741,x76CD14,14.05890215
7.522677965,281.5026855,12.4296875,31.37776459,4103.499004,x76CD14,14.05890215
7.462137092,282.5244141,12.7734375,30.20167461,4164.545278,x76CD14,14.05890215
7.384356428,283.4692383,13.1171875,31.93070575,4216.69488,x76CD14,14.05890215
7.410274842,284.364624,13.46484375,32.899621,4312.92,x76CD14,14.05890215
7.394102233,285.2325439,13.8125,31.26873945,4391.527988,x76CD14,14.05890215
7.294196999,286.0070801,14.16015625,51.03070965,4429.088415,x76CD14,14.05890215
7.203050544,286.7706299,14.515625,51.78234078,4472.94,x76CD14,14.05890215
7.107031782,287.4902344,14.87109375,63.61311737,4511.04,x76CD14,14.05890215
6.982043593,288.182373,15.22265625,50.92605739,4535.116366,x76CD14,14.05890215
6.88642571,288.8415527,15.5859375,51.19810202,4572.111444,x76CD14,14.05890215
6.809021558,289.4842529,15.94921875,39.47315787,4617.72,x76CD14,14.05890215
6.749385374,290.0775146,16.31640625,39.86224776,4670.253958,x76CD14,14.05890215
6.680103683,290.6378174,16.68359375,36.25084595,4716.78,x76CD14,14.05890215
6.630516827,291.2310791,17.046875,45.1561741,4770.12,x76CD14,14.05890215
6.521710272,291.7144775,17.4140625,30.68702094,4792.98,x76CD14,14.05890215
6.167482725,293.1921387,18.546875,32.68048176,4831.08,x76CD14,14.05890215
6.060998342,293.6425781,18.93359375,40.32064331,4846.32,x76CD14,14.05890215
5.751718997,294.9334717,20.1015625,67.02654715,4884.42,x76CD14,14.05890215
5.673213064,295.3509521,20.5078125,38.61730996,4915.513631,x76CD14,14.05890215
5.603130491,295.713501,20.90234375,35.301772,4945.38,x76CD14,14.05890215
5.512067588,296.081543,21.30859375,39.63212956,4960.62,x76CD14,14.05890215
5.424134076,296.4550781,21.7109375,35.69210964,4975.86,x76CD14,14.05890215
5.347116026,296.8011475,22.12109375,25.4175224,4998.72,x76CD14,14.05890215
5.275446531,297.1472168,22.53125,34.46994076,5021.58,x76CD14,14.05890215
5.176063234,297.7734375,23.359375,37.57622086,5097.78,x76CD14,14.05890215
5.137586533,298.0810547,23.76953125,22.56604169,5143.5,x76CD14,14.05890215
5.073412322,298.3666992,24.1875,42.23548579,5166.36,x76CD14,14.05890215
5.011168302,298.6633301,24.60546875,61.14299315,5189.22,x76CD14,14.05890215
4.946600556,298.927002,25.01953125,33.79099932,5212.309173,x76CD14,14.05890215
4.912069196,299.196167,25.44140625,26.2130596,5257.8,x76CD14,14.05890215
4.865380498,299.4488525,25.86328125,62.46509175,5288.28,x76CD14,14.05890215
4.822023156,299.6960449,26.28515625,33.97237523,5326.38,x76CD14,14.05890215
4.773563808,299.932251,26.703125,33.81924388,5355.740567,x76CD14,14.05890215
